代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11939872.3699999992
真實報酬,1939872.3699999992
趨勢值,0.0553743021

選擇檔數,2
找到最佳解世代,2096
找到最佳解實驗,1
Stock#,MRK,PG,
分配資金,5000000,5000000,
張數,73583,60459,
剩餘資金,35.1499999998,40.6999999998,
FS(106),5676963.5999999996,5891165.6600000001,11568129.2599999998,
FS(107),5694623.5199999996,5920185.9800000004,11614809.5000000000,
FS(108),5652681.2099999990,5873027.9600000000,11525709.1699999999,
FS(109),5704189.3099999996,5907489.5899999999,11611678.8999999985,
FS(110),5644587.0799999991,5941346.6299999999,11585933.7099999990,
FS(111),5777772.3099999996,6001201.0400000000,11778973.3499999996,
FS(112),5814563.8099999996,5999991.8600000003,11814555.6699999999,
FS(113),5808677.1699999990,5952833.8399999999,11761511.0099999979,
FS(114),5872694.3799999999,5954043.0200000005,11826737.4000000004,
FS(115),5830752.0699999994,6045336.1100000003,11876088.1799999997,
FS(116),5844732.8399999999,6002410.2200000007,11847143.0600000005,
FS(117),5874166.0399999991,6032639.7200000007,11906805.7599999998,
FS(118),5943334.0599999996,6061055.4500000002,12004389.5099999998,
FS(119),5914636.6899999995,6019943.3300000001,11934580.0199999996,
FS(120),5941126.5699999994,6035662.6699999999,11976789.2400000002,
FS(121),5932296.6099999994,5980040.3899999997,11912337.0000000000,
FS(122),5981597.2199999997,5958275.1500000004,11939872.3699999992,
