代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12750681.3100000005
真實報酬,2750681.3100000005
趨勢值,0.1234527257

選擇檔數,3
找到最佳解世代,1925
找到最佳解實驗,1
Stock#,HD,PG,V,
分配資金,3333333,3333333,3333333,
張數,69502,54156,118793,
剩餘資金,17.0799999999,31.2000000002,1.4200000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3388934.6000000001,3325209.6000000001,3390353.6399999997,10104498.8400000017,
FS(3),3400054.9200000004,3312753.7200000002,3379662.2700000000,10092471.9100000020,
FS(4),3516818.2800000003,3346872.0000000000,3455689.7900000000,10319381.0700000003,
FS(5),3561299.5600000001,3398861.7600000002,3468757.0200000000,10428919.3400000017,
FS(6),3638446.7800000003,3398320.2000000002,3462817.3699999996,10499585.3500000015,
FS(7),3568944.7800000003,3386947.4399999999,3455689.7900000000,10411583.0100000016,
FS(8),3630801.5600000001,3398861.7600000002,3479448.3899999997,10509112.7100000009,
FS(9),3542534.0200000000,3388572.1200000001,3412924.3100000001,10344031.4500000011,
FS(10),3625241.3999999999,3421607.2800000003,3459253.5800000001,10506103.2599999998,
FS(11),3605085.8199999998,3405360.4800000004,3516274.2200000002,10526721.5200000014,
FS(12),3636361.7200000002,3373408.4399999999,3567355.2100000000,10577126.3700000010,
FS(13),3681538.0200000000,3369075.9600000004,3604181.0400000000,10654796.0200000014,
FS(14),3671807.7399999998,3270512.0400000000,3641006.8699999996,10583327.6500000004,
FS(15),3562689.6000000001,3235852.2000000002,3548348.3300000001,10346891.1300000008,
FS(16),3615511.1200000001,3240184.6800000002,3711094.7399999998,10566791.5400000010,
FS(17),3580760.1200000001,3212023.5600000005,3601805.1800000002,10394589.8600000013,
FS(18),3605780.8400000003,3209857.3200000003,3657637.8899999997,10473277.0500000026,
FS(19),3582845.1799999997,3248308.0800000001,3665953.3999999999,10497107.6600000001,
FS(20),3592575.4600000000,3265096.4399999999,3608932.7599999998,10466605.6600000020,
FS(21),3682928.0600000001,3317086.2000000002,3671893.0499999998,10671908.3100000024,
FS(22),3684318.1000000001,3313836.8399999999,3760987.7999999998,10759143.7400000021,
FS(23),3589795.3799999999,3323043.3600000003,3752672.2900000000,10665512.0300000012,
FS(24),3621766.2999999998,3322501.8000000003,3771679.1699999999,10715948.2700000014,
FS(25),3624546.3799999999,3318710.8800000004,3720598.1800000002,10663856.4400000013,
FS(26),3622461.3199999998,3333333.0000000000,3671893.0499999998,10627688.3700000010,
FS(27),3629411.5200000000,3343081.0800000001,3631503.4300000002,10603997.0300000012,
FS(28),3591185.4200000004,3325209.6000000001,3586362.0899999999,10502758.1100000013,
FS(29),3582845.1799999997,3449768.4000000004,3642194.7999999998,10674809.3800000008,
FS(30),3620376.2600000002,3525045.2400000002,3684960.2799999998,10830382.7800000012,
FS(31),3575894.9800000004,3509881.5600000005,3776430.8899999997,10862208.4300000016,
FS(32),3525158.5200000000,3539125.7999999998,3808505.0000000000,10872790.3200000022,
FS(33),3538363.8999999999,3510423.1199999996,3796625.7000000002,10845413.7200000007,
FS(34),3541839.0000000000,3515838.7200000002,3724161.9700000002,10781840.6900000013,
FS(35),3523768.4800000004,3505549.0800000005,3734853.3399999999,10764171.9000000022,
FS(36),3541839.0000000000,3487136.0400000000,3696839.5800000001,10725815.6200000010,
FS(37),3556434.4200000004,3467098.3199999998,3642194.7999999998,10665728.5400000010,
FS(38),3549484.2200000002,3467098.3199999998,3629127.5699999998,10645711.1100000013,
FS(39),3677367.8999999999,3496342.5600000005,3764551.5899999999,10938263.0500000007,
FS(40),3732969.5000000000,3525045.2400000002,3834639.4600000000,11092655.2000000011,
FS(41),3700998.5800000001,3525586.7999999998,3885720.4500000002,11112306.8300000001,
FS(42),3626631.4399999999,3495259.4400000004,3833451.5300000003,10955343.4100000020,
FS(43),3591880.4399999999,3466556.7600000002,3785934.3300000001,10844372.5300000012,
FS(44),3571724.8600000003,3439478.7600000002,3839391.1800000002,10850595.8000000007,
FS(45),3634276.6600000001,3547249.2000000002,3889284.2400000002,11070811.1000000015,
FS(46),3614121.0800000001,3564037.5600000005,3891660.0999999996,11069819.7400000021,
FS(47),3641921.8799999999,3586241.5200000000,3872653.2200000002,11100817.6200000010,
FS(48),3669027.6600000001,3613319.5200000000,3895223.8899999997,11177572.0700000022,
FS(49),3694048.3799999999,3613861.0800000005,3816820.5100000002,11124730.9700000007,
FS(50),3687793.2000000002,3616027.3199999998,3833451.5300000003,11137273.0500000026,
FS(51),3671112.7200000002,3600322.0800000005,3810880.8599999999,11082316.6600000020,
FS(52),3802471.5000000000,3613861.0800000005,3857210.1299999999,11273543.7100000009,
FS(53),3822627.0800000001,3608987.0400000000,3833451.5300000003,11265066.6500000022,
FS(54),3913674.7000000002,3628483.2000000002,3851270.4800000000,11393429.3800000008,
FS(55),3942865.5400000000,3628483.2000000002,3821572.2300000000,11392921.9700000007,
FS(56),3931745.2200000002,3614944.2000000002,3806129.1399999997,11352819.5600000024,
FS(57),3914369.7200000002,3616027.3199999998,3787122.2599999998,11317520.3000000007,
FS(58),3936610.3600000003,3620359.7999999998,3804941.2100000000,11361912.3700000010,
FS(59),3930355.1799999997,3611153.2800000007,3776430.8899999997,11317940.3500000015,
FS(60),3958851.0000000000,3629566.3199999998,3762175.7300000000,11350594.0500000007,
FS(61),3938695.4200000004,3634440.3600000003,3791873.9800000000,11365010.7600000016,
FS(62),3928965.1400000001,3627941.6400000001,3783558.4700000002,11340466.2500000019,
FS(63),3950510.7600000002,3621442.9200000004,3802565.3499999996,11374520.0300000012,
FS(64),3935220.3199999998,3621984.4800000000,3763363.6599999997,11320569.4600000009,
FS(65),3944255.5800000001,3638772.8399999999,3808505.0000000000,11391534.4200000018,
FS(66),3947035.6600000001,3650145.6000000006,3816820.5100000002,11414002.7700000014,
FS(67),3929660.1600000001,3644188.4400000004,3789498.1199999996,11363347.7200000007,
FS(68),4006807.3799999999,3695636.6400000001,3846518.7600000002,11548963.7800000012,
FS(69),3979701.6000000001,3710800.3199999998,3852458.4099999997,11542961.3300000001,
FS(70),3982481.6799999997,3710258.7600000002,3821572.2300000000,11514313.6700000018,
FS(71),3942170.5200000000,3696719.7600000002,3904727.3299999996,11543618.6100000013,
FS(72),3965106.1799999997,3688054.7999999998,3964123.8299999996,11617285.8100000005,
FS(73),4051983.6799999997,3731921.1600000001,4008077.2400000002,11791983.0800000001,
FS(74),4132606.0000000000,3745460.1600000001,3986694.5000000000,11864761.6600000020,
FS(75),4094379.8999999999,3750334.2000000002,3976003.1299999999,11820718.2300000004,
FS(76),4090904.7999999998,3748709.5200000000,3970063.4800000000,11809678.8000000007,
FS(77),4133301.0200000000,3750875.7600000002,4003325.5200000005,11887503.3000000007,
FS(78),4120095.6400000001,3767122.5600000005,3997385.8699999996,11884605.0700000003,
FS(79),4129825.9200000004,3759540.7200000002,4009265.1699999999,11898632.8100000005,
FS(80),4127740.8600000003,3777953.7600000002,3972439.3399999999,11878134.9600000009,
FS(81),4150676.5200000000,3768747.2400000002,3996197.9399999999,11915622.7000000011,
FS(82),4112450.4200000004,3753042.0000000000,3935613.5100000002,11801106.9300000016,
FS(83),4161796.8400000003,3753042.0000000000,3977191.0599999996,11892030.9000000004,
FS(84),4195852.8200000003,3756291.3600000003,3987882.4300000002,11940027.6100000013,
FS(85),4209753.2199999997,3761165.4000000004,4060346.1599999997,12031265.7800000012,
FS(86),4193072.7399999998,3725422.4400000004,4038963.4199999999,11957459.6000000015,
FS(87),4293155.6200000001,3746001.7200000002,4113803.0100000002,12152961.3500000015,
FS(88),4291070.5600000005,3757374.4800000000,4148252.9800000000,12196699.0200000014,
FS(89),4392543.4800000004,3770913.4800000000,4166071.9300000002,12329529.8900000006,
FS(90),4300800.8399999999,3742210.7999999998,4119742.6599999997,12162755.3000000007,
FS(91),4236163.9800000004,3720548.4000000004,4061534.0899999999,12018247.4700000007,
FS(92),4152066.5600000001,3690221.0400000000,4080540.9700000002,11922829.5700000022,
FS(93),4101330.1000000001,3682639.2000000002,4129246.0999999996,11913216.4000000004,
FS(94),4139556.2000000002,3679389.8399999999,4131621.9600000000,11950569.0000000019,
FS(95),4215313.3799999999,3721089.9600000000,4154192.6299999999,12090596.9700000007,
FS(96),4229908.7999999998,3736795.2000000002,4192206.3899999997,12158911.3900000006,
FS(97),4266744.8600000003,3762248.5200000000,4233783.9400000004,12262778.3200000022,
FS(98),4295240.6799999997,3762248.5200000000,4213589.1299999999,12271079.3300000001,
FS(99),4301495.8600000003,3713508.1199999996,4156568.4900000002,12171573.4700000007,
FS(100),4311921.1600000001,3709717.2000000002,4128058.1699999999,12149697.5300000012,
FS(101),4291765.5800000001,3652311.8399999999,4057970.2999999993,12002048.7200000007,
FS(102),4259099.6400000006,3686971.6800000002,4053218.5799999996,11999290.9000000004,
FS(103),4203498.0400000000,3794742.1199999996,4085292.6899999999,12083533.8500000015,
FS(104),4172917.1600000001,3760623.8399999999,4107863.3599999999,12041405.3600000013,
FS(105),4266049.8399999999,3749792.6400000001,4120930.5899999999,12136774.0700000003,
FS(106),4327211.5999999996,3750334.2000000002,4272985.6299999999,12350532.4299999997,
FS(107),4310531.1200000001,3747084.8399999999,4258730.4699999997,12316347.4300000016,
FS(108),4335551.8399999999,3718923.7200000002,4202897.7599999998,12257374.3200000022,
FS(109),4352232.3200000003,3733004.2800000007,4272985.6299999999,12358223.2300000004,
FS(110),4308446.0600000005,3685888.5600000005,4233783.9400000004,12228119.5600000024,
FS(111),4229908.7999999998,3623609.1600000001,4219528.7800000003,12073047.7400000021,
FS(112),4236859.0000000000,3629024.7600000002,4244475.3099999996,12110360.0700000003,
FS(113),4250759.3999999994,3632815.6800000002,4253978.7500000000,12137554.8300000001,
