代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11458143.2300000004
真實報酬,1458143.2300000004
趨勢值,0.1438711444

選擇檔數,6
找到最佳解世代,1936
找到最佳解實驗,1
Stock#,CAT,CSCO,DD,JNJ,MCD,MRK,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,18545,75757,26679,18308,17287,33676,
剩餘資金,26.8499999999,12.0000000000,28.8700000000,88.7600000000,26.3300000001,40.7599999999,
FS(18),1714882.9999999998,1647726.7500000000,1635985.1500000001,1649639.5599999998,1628115.9900000002,1780490.8799999999,10056845.3300000001,
FS(19),1680574.7500000000,1640151.0499999998,1699481.1700000002,1627669.9600000002,1610310.3800000001,1758264.7200000000,10016456.0300000012,
FS(20),1728420.8499999999,1665150.8600000001,1721624.7400000002,1638654.7600000000,1621546.9299999999,1802043.5200000000,10177445.6600000001,
FS(21),1741587.7999999998,1659847.8700000001,1729094.8600000001,1619797.5200000000,1627943.1200000001,1783858.4800000000,10162133.6500000004,
FS(22),1713955.7500000000,1632575.3500000001,1697880.4300000002,1588857.0000000000,1608063.0700000001,1753886.8399999999,9995222.4399999995,
FS(23),1715439.3499999999,1651514.6000000001,1708285.2400000002,1585927.7200000002,1609273.1600000001,1802043.5200000000,10072487.5899999999,
FS(24),1705425.0499999998,1665150.8600000001,1704016.6000000001,1598011.0000000000,1617743.7900000000,1802717.0400000000,10093068.3399999999,
FS(25),1740104.1999999997,1703786.9299999999,1732029.5500000000,1624923.7600000000,1641254.1100000001,1810799.2800000000,10252901.8300000001,
FS(26),1759391.0000000000,1717423.1900000002,1732563.1300000001,1648541.0800000001,1658195.3700000001,1844475.2800000000,10360593.0500000007,
FS(27),1752529.3499999999,1729544.3099999998,1741633.9900000002,1667398.3199999998,1639871.1500000001,1848516.4000000001,10379497.5199999996,
FS(28),1761060.0499999998,1720453.4700000000,1779518.1700000002,1702183.5200000000,1648168.9100000001,1875793.9600000002,10487182.0799999982,
FS(29),1783499.5000000000,1731059.4500000002,1761910.0300000003,1692114.1200000001,1640389.7600000000,1852220.7600000000,10461197.6200000010,
FS(30),1782386.7999999998,1687120.3899999999,1759242.1300000001,1694677.2400000000,1650243.3499999999,1855588.3600000001,10429262.2699999996,
FS(31),1790546.5999999999,1709089.9199999999,1774715.9500000000,1698338.8400000001,1655775.1900000002,1867038.2000000000,10495508.6999999993,
