代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12144371.0700000003
真實報酬,2144371.0700000003
趨勢值,0.0489006570

選擇檔數,2
找到最佳解世代,2182
找到最佳解實驗,1
Stock#,HD,NKE,
分配資金,5000000,5000000,
張數,45641,99226,
剩餘資金,28.4500000001,1.8599999999,
FS(34),5104974.2999999998,5258979.8600000003,10363954.1600000001,
FS(35),5131446.0800000001,5285770.8800000008,10417216.9600000009,
FS(36),5160656.3200000003,5298670.2599999998,10459326.5800000001,
FS(37),5165676.8300000001,5318515.4600000009,10484192.2900000010,
FS(38),5127794.7999999998,5269894.7200000007,10397689.5199999996,
FS(39),5122774.2900000000,5220281.7200000007,10343056.0099999998,
FS(40),5139205.0499999998,5443540.2200000007,10582745.2699999996,
FS(41),5045184.5900000008,5342329.7000000011,10387514.2900000010,
FS(42),5072112.7800000003,5359198.1200000001,10431310.9000000004,
FS(43),5115015.3200000003,5429648.5800000001,10544663.9000000004,
FS(44),5088543.5400000000,5451478.2999999998,10540021.8399999999,
FS(45),5080784.5700000003,5449493.7800000003,10530278.3500000015,
FS(46),5130076.8500000006,5521928.7599999998,10652005.6100000013,
FS(47),5066179.4500000002,5421710.5000000000,10487889.9500000011,
FS(48),5083523.0300000003,5429648.5800000001,10513171.6100000013,
FS(49),5162025.5499999998,5483230.6200000001,10645256.1699999999,
FS(50),5244179.3500000006,5577495.3200000003,10821674.6700000018,
FS(51),5265174.2100000000,5573526.2800000003,10838700.4900000002,
FS(52),5275215.2300000004,5551696.5600000005,10826911.7900000010,
FS(53),5236420.3800000008,5573526.2800000003,10809946.6600000020,
FS(54),5224553.7199999997,5596348.2599999998,10820901.9800000004,
FS(55),5176174.2599999998,5613216.6800000006,10789390.9399999995,
FS(56),5196712.7100000000,5606270.8600000003,10802983.5700000003,
FS(57),5244179.3500000006,5660845.1600000001,10905024.5099999998,
FS(58),5230030.6400000006,5655883.8600000003,10885914.5000000019,
FS(59),5184389.6400000006,5606270.8600000003,10790660.5000000019,
FS(60),5160656.3200000003,5543758.4800000004,10704414.8000000007,
FS(61),5241440.8900000006,5630085.1000000006,10871525.9900000002,
FS(62),5311271.6200000001,5701527.8200000003,11012799.4400000013,
FS(63),5315379.3099999996,5706489.1200000001,11021868.4299999997,
FS(64),5341394.6800000006,5716411.7200000007,11057806.4000000004,
FS(65),5335004.9400000004,5697558.7800000003,11032563.7200000007,
FS(66),5364215.1800000006,5744195.0000000000,11108410.1800000016,
FS(67),5385666.4500000002,5792815.7400000002,11178482.1900000013,
FS(68),5319943.4100000001,5711450.4200000009,11031393.8300000001,
FS(69),5336830.5800000001,5681682.6200000001,11018513.2000000011,
FS(70),5367410.0499999998,5723357.5400000000,11090767.5899999999,
FS(71),5371517.7400000002,5678705.8399999999,11050223.5800000001,
FS(72),5371517.7400000002,5609247.6400000006,10980765.3800000008,
FS(73),5432220.2699999996,5636038.6600000001,11068258.9299999997,
FS(74),5465538.2000000002,5673744.5400000000,11139282.7400000002,
FS(75),5463256.1500000004,5704504.6000000006,11167760.7500000000,
FS(76),5604743.2500000000,5696566.5199999996,11301309.7699999996,
FS(77),5602917.6100000003,5703512.3399999999,11306429.9500000011,
FS(78),5501594.5900000008,5571541.7599999998,11073136.3500000015,
FS(79),5301687.0099999998,5302639.2999999998,10604326.3100000005,
FS(80),5136466.5900000008,5153800.2999999998,10290266.8900000006,
FS(81),5064810.2199999997,5136931.8800000008,10201742.0999999996,
FS(82),5291189.5800000001,5395911.7400000002,10687101.3200000003,
FS(83),5370148.5099999998,5587417.9200000009,10957566.4299999997,
FS(84),5363758.7699999996,5581464.3600000003,10945223.1300000008,
FS(85),5315379.3099999996,5544750.7400000002,10860130.0500000007,
FS(86),5160656.3200000003,5389958.1800000006,10550614.5000000000,
FS(87),5316292.1300000008,5492160.9600000009,10808453.0900000017,
FS(88),5321769.0499999998,5500099.0400000000,10821868.0899999999,
FS(89),5222271.6699999999,5442547.9600000009,10664819.6300000008,
