代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11445009.0200000014
真實報酬,1445009.0200000014
趨勢值,0.1041389015

選擇檔數,2
找到最佳解世代,2088
找到最佳解實驗,1
Stock#,MCD,WMT,
分配資金,5000000,5000000,
張數,44599,86790,
剩餘資金,6.1100000000,28.1000000000,
FS(33),5240388.6100000003,5118902.2999999998,10359290.9100000001,
FS(34),5202925.4500000002,5107619.5999999996,10310545.0500000007,
FS(35),5248862.4199999999,5168372.5999999996,10417235.0199999996,
FS(36),5250200.3900000006,5254294.6999999993,10504495.0900000017,
FS(37),5298367.3100000005,5302029.2000000002,10600396.5100000016,
FS(38),5288109.5400000000,5279463.7999999998,10567573.3399999999,
FS(39),5296137.3600000003,5272520.5999999996,10568657.9600000009,
FS(40),5355008.0400000000,5347160.0000000000,10702168.0400000010,
FS(41),5326464.6800000006,5353235.2999999998,10679699.9800000004,
FS(42),5268931.9700000007,5320255.0999999996,10589187.0700000003,
FS(43),5243956.5300000003,5334141.5000000000,10578098.0300000012,
FS(44),5316206.9100000001,5460854.8999999994,10777061.8100000005,
FS(45),5280527.7100000009,5515532.5999999996,10796060.3100000005,
FS(46),5158326.4500000002,5643981.7999999998,10802308.2500000000,
FS(47),5150298.6300000008,5514664.6999999993,10664963.3300000019,
FS(48),5204263.4199999999,5573681.8999999994,10777945.3200000003,
FS(49),5237712.6699999999,5521607.8999999994,10759320.5700000003,
FS(50),5134242.9900000002,5374064.8999999994,10508307.8900000006,
FS(51),5201141.4900000002,5473005.5000000000,10674146.9900000002,
FS(52),5136918.9300000006,5374932.7999999998,10511851.7300000004,
FS(53),5240388.6100000003,5429610.5000000000,10669999.1100000013,
FS(54),5163678.3300000001,5280331.7000000002,10444010.0300000012,
FS(55),5255552.2700000005,5370593.2999999998,10626145.5700000022,
FS(56),5280527.7100000009,5440893.1999999993,10721420.9100000020,
FS(57),5316206.9100000001,5506853.5999999996,10823060.5100000016,
FS(58),5371063.6800000006,5554588.0999999996,10925651.7800000012,
FS(59),5390687.2400000002,5550248.5999999996,10940935.8400000017,
FS(60),5458031.7300000004,5573681.8999999994,11031713.6300000008,
FS(61),5520470.3300000001,5759412.5000000000,11279882.8300000001,
FS(62),5557487.5000000000,5858353.0999999996,11415840.6000000015,
FS(63),5528052.1600000001,5802807.5000000000,11330859.6600000001,
FS(64),5417446.6400000006,5751601.3999999994,11169048.0400000010,
FS(65),5381321.4500000002,5764619.8999999994,11145941.3500000015,
FS(66),5146730.7100000009,5814958.0999999996,10961688.8100000024,
FS(67),5175720.0600000005,5806279.1000000006,10981999.1600000020,
FS(68),5218535.1000000006,5711678.0000000000,10930213.1000000015,
FS(69),5242172.5700000003,5709942.2000000002,10952114.7700000014,
FS(70),5206047.3800000008,5669150.8999999994,10875198.2800000012,
FS(71),5259566.1800000006,5743790.2999999998,11003356.4800000023,
FS(72),5315314.9300000006,5719489.1000000006,11034804.0300000012,
FS(73),5291231.4700000007,5737715.0000000000,11028946.4700000007,
FS(74),5225670.9400000004,5565002.9000000004,10790673.8400000017,
FS(75),5197127.5800000001,5611869.4999999991,10808997.0800000001,
FS(76),5247970.4400000004,5696055.7999999989,10944026.2400000002,
FS(77),5213629.2100000009,5769827.2999999998,10983456.5100000016,
FS(78),5220765.0500000007,5825372.9000000004,11046137.9500000011,
FS(79),5279189.7400000002,5905219.7000000002,11184409.4400000013,
FS(80),5220765.0500000007,5772431.0000000000,10993196.0500000026,
FS(81),5226562.9199999999,5757676.7000000002,10984239.6200000010,
FS(82),5300597.2599999998,5768091.4999999991,11068688.7599999998,
FS(83),5284095.6300000008,5746393.9999999991,11030489.6300000008,
FS(84),5204263.4199999999,5740318.6999999993,10944582.1200000010,
FS(85),5226116.9300000006,5795864.2999999998,11021981.2300000004,
FS(86),5224778.9600000009,5892201.1999999993,11116980.1600000020,
FS(87),5281419.6900000004,5905219.7000000002,11186639.3900000006,
FS(88),5335830.4700000007,5860956.7999999998,11196787.2700000014,
FS(89),5350994.1300000008,5850541.9999999991,11201536.1300000008,
FS(90),5421014.5600000005,5829712.3999999994,11250726.9600000009,
FS(91),5481223.2100000009,5846202.5000000000,11327425.7100000009,
FS(92),5504860.6800000006,5909559.2000000002,11414419.8800000008,
FS(93),5508874.5899999999,5900880.1999999993,11409754.7899999991,
FS(94),5492818.9500000002,5854013.5999999996,11346832.5500000007,
FS(95),5533850.0300000003,5810618.5999999996,11344468.6300000008,
FS(96),5521808.3000000007,5899144.3999999994,11420952.7000000011,
FS(97),5522254.2900000000,5890465.4000000004,11412719.6900000013,
FS(98),5538755.9199999999,5854881.4999999991,11393637.4199999999,
FS(99),5498616.8200000003,5901748.0999999996,11400364.9200000018,
FS(100),5493264.9400000004,5912162.9000000004,11405427.8400000017,
FS(101),5528944.1400000006,5904351.7999999998,11433295.9400000013,
FS(102),5611898.2800000003,5971180.0999999996,11583078.3800000008,
FS(103),5605208.4300000006,5944275.1999999993,11549483.6300000008,
FS(104),5664971.0899999999,5993745.5000000000,11658716.5899999999,
FS(105),5689500.5400000000,5997217.0999999987,11686717.6400000006,
FS(106),5681026.7300000004,5957293.6999999993,11638320.4300000016,
FS(107),5687270.5899999999,5992009.7000000002,11679280.2900000010,
FS(108),5714921.9699999997,5920841.8999999994,11635763.8700000010,
FS(109),5706894.1500000004,5906955.5000000000,11613849.6500000004,
FS(110),5689054.5500000007,5849674.1000000006,11538728.6500000022,
FS(111),5691284.5000000000,5971180.0999999996,11662464.5999999996,
FS(112),5659173.2200000007,6001556.6000000006,11660729.8200000022,
FS(113),5686824.6000000006,5971180.0999999996,11658004.7000000011,
FS(114),5698866.3300000001,5993745.5000000000,11692611.8300000001,
FS(115),5746587.2599999998,6063177.5000000000,11809764.7599999998,
FS(116),5747033.2500000009,6055366.3999999994,11802399.6500000004,
FS(117),5733207.5600000005,6006763.9999999991,11739971.5600000005,
FS(118),5610114.3200000003,5942539.3999999994,11552653.7200000007,
FS(119),5597180.6100000003,5964236.8999999994,11561417.5100000016,
FS(120),5684594.6500000004,6029329.3999999994,11713924.0500000007,
FS(121),5695744.4000000004,6014575.0999999996,11710319.5000000000,
FS(122),5722057.8100000005,6024989.8999999994,11747047.7100000009,
FS(123),5705110.1900000004,5980726.9999999991,11685837.1900000013,
FS(124),5641333.6200000001,5803675.4000000004,11445009.0200000014,
