代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12417546.8000000007
真實報酬,2417546.8000000007
趨勢值,0.1564129423

選擇檔數,7
找到最佳解世代,1709
找到最佳解實驗,1
Stock#,AXP,BA,CSCO,JNJ,MRK,UNH,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,23845,19080,68582,19258,34151,25615,32059,
剩餘資金,17.0500000001,51.3999999999,7.9400000001,12.5599999999,34.6700000001,22.4499999999,21.9599999999,
FS(42),1579748.3000000000,1609640.2000000000,1453946.3400000001,1580516.6199999996,1549124.0300000000,1579699.5000000000,1570592.3700000001,10923270.3599999994,
FS(43),1591193.9000000001,1620897.3999999999,1442973.2200000002,1587064.3399999999,1547757.9900000002,1588920.8999999999,1580530.6599999999,10959341.4099999983,
FS(44),1557095.5500000000,1644175.0000000000,1413482.9600000002,1579938.8799999999,1541269.3000000003,1590713.9500000000,1588866.0000000000,10915544.6400000006,
FS(45),1564249.0499999998,1655241.3999999999,1410739.6800000002,1562028.9399999997,1553222.1500000001,1585334.8000000000,1584698.3299999998,10915517.3499999978,
FS(46),1555187.9500000000,1664018.1999999997,1438172.4800000002,1569924.7199999997,1554246.6800000002,1592763.1499999999,1582454.2000000000,10956770.3799999990,
FS(47),1559480.0500000003,1675656.9999999998,1472463.4800000002,1579553.7199999997,1599667.5100000002,1598654.5999999999,1598483.7000000000,11083963.0599999987,
FS(48),1567587.3499999999,1689203.7999999998,1487551.5200000003,1585331.1199999996,1612303.3800000001,1613255.1499999999,1619322.0499999998,11174557.3699999992,
FS(49),1566156.6500000001,1696072.5999999999,1477264.2200000002,1593419.4799999997,1608888.2800000000,1614535.8999999999,1630542.7000000000,11186882.8300000001,
FS(50),1528481.5499999998,1655622.9999999998,1443659.0400000003,1573583.7399999998,1586690.1300000001,1577650.3000000000,1623489.7200000000,10989180.4799999986,
FS(51),1540165.6000000001,1657912.5999999999,1451203.0600000003,1606900.0799999998,1603765.6300000001,1608900.6000000001,1617719.1000000001,11086569.6699999999,
FS(52),1529196.8999999999,1654096.5999999999,1414854.6000000001,1615758.7600000000,1596935.4300000002,1588920.8999999999,1588224.8199999998,10987991.0099999979,
FS(53),1550895.8500000001,1643221.0000000000,1411425.5000000000,1601893.0000000000,1590105.2300000002,1528981.7999999998,1632145.6499999999,10958671.0299999993,
FS(54),1603354.8499999999,1678328.1999999997,1403195.6600000001,1627120.9799999997,1621865.6600000001,1537947.0500000000,1675104.7100000000,11146920.1099999994,
FS(55),1589524.7500000000,1658866.5999999999,1412111.3200000001,1633668.6999999997,1636550.5900000003,1516942.7500000000,1673181.1699999999,11120848.8799999990,
FS(56),1608362.3000000000,1682525.8000000000,1434057.5600000003,1645608.6599999999,1660797.8000000003,1499524.5500000000,1677348.8400000001,11208228.5099999998,
FS(57),1607646.9500000002,1733087.7999999998,1398394.9200000002,1625195.1799999999,1637575.1200000003,1505928.3000000000,1660678.1599999999,11168509.4299999997,
FS(58),1624576.8999999999,1749115.0000000000,1415540.4200000002,1641179.3199999998,1617084.5200000003,1520016.5500000000,1706201.9399999999,11273717.6499999985,
FS(59),1615515.8000000000,1771629.3999999999,1417597.8800000004,1639253.5200000000,1634843.0400000000,1523602.6499999999,1719346.1300000001,11321791.4199999999,
FS(60),1612654.3999999999,1753503.3999999999,1438858.3000000003,1648112.1999999997,1633135.4900000002,1537178.5999999999,1713896.1000000001,11337341.4900000002,
FS(61),1631253.5000000000,1744154.2000000000,1434743.3800000004,1641371.8999999999,1605131.6700000002,1535129.3999999999,1728322.6499999999,11320109.6999999993,
FS(62),1628153.6500000001,1739765.8000000000,1397709.1000000001,1622113.8999999999,1560393.8600000001,1529750.2500000000,1679913.5599999998,11157803.1199999992,
FS(63),1654383.1499999999,1759418.1999999997,1421712.8000000003,1640023.8399999999,1561759.9000000001,1523602.6499999999,1684081.2300000000,11244984.7699999977,
FS(64),1674651.4000000001,1788610.5999999999,1428571.0000000000,1651386.0599999998,1559710.8400000003,1509258.2500000000,1688890.0799999998,11301081.2299999986,
FS(65),1670597.7500000000,1797196.5999999999,1427199.3600000001,1630780.0000000000,1536146.6500000001,1542045.4500000000,1668692.9099999999,11272661.7199999988,
FS(66),1674889.8499999999,1808644.6000000001,1397709.1000000001,1647149.2999999998,1546050.4400000002,1549729.9500000000,1696584.2400000000,11320760.4800000004,
FS(67),1676559.0000000000,1794334.6000000001,1421026.9800000002,1645801.2399999998,1536488.1600000001,1601216.0999999999,1702675.4500000000,11378104.5299999993,
FS(68),1674174.5000000000,1805210.2000000000,1428571.0000000000,1639831.2600000000,1553563.6600000001,1588408.5999999999,1689851.8500000001,11379614.0700000003,
FS(69),1671074.6499999999,1798150.5999999999,1447088.1400000004,1651578.6399999999,1569273.1200000003,1611462.0999999999,1695622.4700000000,11444252.7199999988,
FS(70),1664159.6000000001,1808072.2000000000,1458747.0800000001,1653311.8599999996,1576786.3400000003,1598142.3000000000,1684722.4099999999,11443944.7899999991,
FS(71),1705173.0000000002,1833830.2000000000,1458747.0800000001,1674880.8199999998,1593178.8200000001,1581236.3999999999,1704598.9900000000,11551648.3099999987,
FS(72),1735456.1500000001,1851192.9999999998,1454632.1600000001,1687783.6799999999,1595910.9000000001,1578162.5999999999,1718384.3600000001,11621525.8499999996,
FS(73),1722341.4000000001,1842797.7999999998,1638431.9200000002,1684124.6599999999,1583616.5400000000,1591738.5500000000,1705560.7600000000,11768614.6299999990,
FS(74),1748332.4500000000,1887445.0000000000,1662435.6200000001,1696449.7799999998,1570639.1600000001,1609669.0500000000,1710369.6100000001,11885343.6699999981,
FS(75),1774085.0500000003,1883629.0000000000,1642546.8400000001,1694909.1399999999,1544001.3800000001,1602496.8500000001,1690813.6200000001,11832484.8800000008,
FS(76),1791015.0000000000,1884201.3999999999,1646661.7600000002,1706078.7799999998,1616401.5000000000,1610437.5000000000,1669334.0900000001,11924133.0300000012,
FS(77),1775038.8500000001,1868555.8000000000,1600711.8200000001,1703575.2399999998,1595227.8800000001,1595324.6499999999,1650098.6899999999,11788535.9299999997,
FS(78),1781000.1000000001,1903281.3999999999,1612370.7600000002,1679502.7399999998,1616401.5000000000,1597373.8499999999,1663563.4700000000,11853496.8199999984,
FS(79),1794830.2000000000,1908051.3999999999,1613742.4000000001,1671992.1199999996,1610595.8300000001,1589689.3500000001,1647533.9700000000,11836438.2699999996,
FS(80),1816052.2500000000,1910150.2000000000,1638431.9200000002,1687205.9399999997,1626305.2900000000,1622476.5500000000,1629260.3400000001,11929885.4900000002,
FS(81),1808183.3999999999,1890688.5999999999,1654205.7800000003,1649460.2600000000,1600692.0400000000,1622732.7000000000,1589186.5900000001,11815152.3699999992,
