代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11996167.3300000001
真實報酬,1996167.3300000001
趨勢值,0.0898538263

選擇檔數,5
找到最佳解世代,2017
找到最佳解實驗,1
Stock#,GS,HD,INTC,NKE,PG,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,11989,24443,64557,51282,25227,
剩餘資金,114.9100000000,73.7400000002,24.1400000000,2.0000000000,3.4400000000,
FS(19),2109579.4600000000,1981667.7500000000,2209810.2500000000,2010256.4000000001,1999495.4600000000,10310809.3200000003,
FS(20),2104663.9700000002,1979467.8800000004,2207227.9700000002,2002564.0999999999,1984106.9900000000,10278030.9100000001,
FS(21),2107301.5499999998,1998533.4200000004,2217557.0900000003,2041538.4200000002,1971745.7599999998,10336676.2400000002,
FS(22),2072653.3400000001,1976290.2900000000,2187860.8700000001,1977948.7400000000,1950555.0799999998,10165308.3200000003,
FS(23),2041242.1599999999,1949402.9900000002,2178177.3200000003,1968717.9800000000,2009333.9900000000,10146874.4400000013,
FS(24),2058506.3199999998,1956247.0300000003,2198189.9899999998,1978461.5599999998,1998486.3799999999,10189891.2799999993,
FS(25),2031291.2899999998,1956247.0300000003,2118784.8800000004,1972307.7200000000,2003279.5099999998,10081910.4299999997,
FS(26),2035127.7700000000,1968224.1000000001,2120721.5900000003,1977948.7400000000,2045660.8700000001,10147683.0700000003,
FS(27),2027454.8099999998,1967001.9500000002,2109746.8999999999,1957435.9400000002,2021695.2200000000,10083334.8200000003,
FS(28),2065340.0499999998,2014910.2300000004,2104582.3400000003,1975897.4600000000,2042129.0900000001,10202859.1699999999,
FS(29),2067737.8500000001,2025909.5800000001,2131696.2800000003,1975897.4600000000,2055499.4000000001,10256740.5700000022,
FS(30),2066179.2800000000,2026887.3000000003,2138797.5500000003,1967692.3399999999,2053985.7800000000,10253542.2500000019,
FS(31),2066658.8400000001,2031775.9000000004,2201417.8400000003,1981025.6600000001,2055499.4000000001,10336377.6400000006,
FS(32),2070974.8799999999,2049863.7200000002,2191088.7200000002,1982051.2999999998,2067356.0900000001,10361334.7100000009,
FS(33),2061024.0100000000,2045708.4100000001,2205936.8300000001,1977948.7400000000,2063067.5000000000,10353685.4900000002,
FS(34),2092794.8600000001,2043264.1100000003,2221430.5099999998,2014358.9600000000,2079717.3199999998,10451565.7600000016,
FS(35),2085721.3500000001,2156679.6300000004,2216911.5200000005,2013333.3199999998,2086024.0699999998,10558669.8900000006,
FS(36),2086560.5799999998,2218275.9900000002,2227240.6400000001,2023589.7200000000,2089051.3100000001,10644718.2400000002,
FS(37),2099988.2600000002,2228053.1900000004,2269202.6899999999,2024102.5400000000,2100908.0000000000,10722254.6799999997,
FS(38),2103824.7400000002,2225120.0300000003,2255645.7200000002,2033333.2999999998,2103682.9699999997,10721606.7599999998,
FS(39),2132598.3400000003,2229275.3400000003,2247253.3100000001,2051794.8199999998,2107467.0200000000,10768388.8300000001,
FS(40),2132958.0100000002,2239785.8300000001,2246607.7399999998,2037948.6800000002,2103430.6999999997,10760730.9600000009,
FS(41),2131879.0000000000,2245652.1500000004,2245962.1699999999,2044102.5200000000,2101664.8100000001,10769260.6500000004,
FS(42),2129960.7600000002,2261295.6700000004,2236924.1899999999,2021025.6199999999,2094601.2500000000,10743807.4900000002,
FS(43),2147464.7000000002,2285494.2400000002,2254354.5800000001,2014358.9600000000,2096619.4099999999,10798291.8900000025,
FS(44),2155377.4400000004,2228053.1900000004,2231759.6300000004,2032820.4800000000,2093339.9000000001,10741350.6400000025,
FS(45),2153339.3100000001,2175500.7400000002,2231759.6300000004,2021025.6199999999,2091321.7400000000,10672947.0400000010,
