代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12232283.3799999990
真實報酬,2232283.3799999990
趨勢值,0.1459885142

選擇檔數,6
找到最佳解世代,2487
找到最佳解實驗,1
Stock#,AAPL,BA,KO,MCD,MMM,UNH,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,12944,10164,40394,13614,9514,10243,
剩餘資金,126.0000000000,74.9200000000,9.5600000001,40.1200000000,98.6200000001,27.4699999999,
FS(33),1831184.2400000000,1823394.8799999999,1703828.4800000000,1753251.0399999998,1836395.7600000000,1720851.4700000000,10668909.8699999992,
FS(34),1810214.9600000000,1788532.3600000001,1716754.5600000001,1749711.3999999999,1828023.4400000002,1717778.5699999998,10611019.2899999991,
FS(35),1830666.4799999997,1798899.6399999999,1711907.2800000003,1757607.5199999998,1828879.7000000002,1710915.7600000000,10638880.3799999990,
FS(36),1824194.4799999997,1801745.5599999998,1703424.5400000000,1756246.1199999999,1828118.5800000001,1693092.9399999999,10606826.2199999988,
FS(37),1820570.1599999999,1787109.3999999999,1701404.8399999999,1760874.8799999999,1822124.7600000000,1690122.4700000000,10582210.5099999998,
FS(38),1823676.7200000000,1789955.3199999998,1709483.6400000001,1762916.9800000000,1811849.6400000001,1686025.2700000000,10583911.5700000003,
FS(39),1861473.2000000002,1802761.9600000000,1713926.9800000000,1762372.4199999997,1817177.4800000002,1693707.5200000000,10651423.5600000005,
FS(40),1865615.2800000000,1805506.2400000000,1713523.0400000000,1754067.8799999999,1814228.1400000001,1674143.3899999999,10627087.9699999988,
FS(41),1863155.9200000002,1809063.6399999999,1720793.9600000002,1760602.5999999999,1819936.5400000000,1690020.0400000000,10663576.6999999993,
FS(42),1859661.0400000000,1797679.9600000000,1714330.9199999999,1764550.6600000001,1820412.2400000002,1679981.8999999999,10636620.7200000007,
FS(43),1860178.7999999998,1795545.5200000000,1713119.0999999999,1764550.6600000001,1814608.7000000002,1696165.8400000001,10644172.6199999973,
FS(44),1874028.8800000001,1816381.7199999997,1724025.4800000000,1760194.1799999997,1809566.2800000000,1689815.1799999999,10674015.7200000007,
FS(45),1864320.8800000001,1799916.0400000000,1719582.1400000001,1775441.8599999999,1810041.9800000002,1693912.3800000001,10663219.2799999993,
FS(46),1859661.0400000000,1802863.5999999999,1723621.5400000000,1771902.2200000000,1806712.0800000001,1693605.0900000001,10658369.5699999984,
FS(47),1855518.9600000000,1817906.3199999998,1721197.9000000001,1769315.5600000001,1807663.4800000002,1700570.3300000001,10672176.5499999989,
FS(48),1853318.4799999997,1804794.7600000000,1724429.4199999999,1769587.8399999999,1804999.5600000003,1695039.1099999999,10652173.1699999999,
FS(49),1833384.7200000000,1815060.3999999999,1723217.5999999999,1786196.9199999997,1808424.6000000001,1698624.1600000001,10664912.3999999985,
FS(50),1835585.2000000002,1789447.1200000001,1734527.9199999999,1787013.7599999998,1804904.4199999999,1695858.5500000000,10647340.9700000007,
FS(51),1825877.2000000002,1785076.5999999999,1728468.8200000001,1780206.7599999998,1794914.7200000002,1689712.7500000000,10604260.8499999996,
FS(52),1835973.5200000003,1819634.2000000000,1739779.1400000001,1788239.0199999998,1811183.6600000001,1712452.2100000000,10707265.7500000000,
FS(53),1827818.7999999998,1807742.3199999998,1756340.6799999999,1801172.3200000001,1809851.7000000002,1726894.8400000001,10729824.6599999983,
