代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12476171.6600000001
真實報酬,2476171.6600000001
趨勢值,0.1669172722

選擇檔數,4
找到最佳解世代,2407
找到最佳解實驗,1
Stock#,AAPL,INTC,JNJ,PG,
分配資金,2500000,2500000,2500000,2500000,
張數,33160,102040,27304,32266,
剩餘資金,67.6000000000,20.0000000000,45.7599999999,30.3199999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2516580.0000000000,2511224.3999999999,2548601.1199999996,2531298.0200000000,10107703.5399999991,
FS(3),2521885.6000000001,2500000.0000000000,2528123.1199999996,2510970.4399999995,10060979.1600000001,
FS(4),2514258.7999999998,2513265.1999999997,2536314.3199999998,2518714.2799999998,10082552.5999999996,
FS(5),2512932.3999999999,2514285.6000000001,2548055.0399999996,2529039.3999999999,10104312.4399999995,
FS(6),2515253.6000000001,2534693.6000000001,2551604.5600000001,2533879.2999999998,10135431.0599999987,
FS(7),2539460.3999999999,2523469.2000000002,2552696.7199999997,2547431.0200000000,10163057.3399999999,
FS(8),2542113.2000000002,2526530.4000000004,2555700.1599999997,2556788.1599999997,10181131.9199999981,
FS(9),2513927.2000000002,2507142.7999999998,2539317.7599999998,2555174.8599999999,10115562.6199999992,
FS(10),2485741.1999999997,2500000.0000000000,2534130.0000000000,2548399.0000000000,10068270.1999999993,
FS(11),2495357.6000000001,2520408.0000000000,2564710.4800000000,2576147.7599999998,10156623.8399999999,
FS(12),2517243.2000000002,2532652.7999999998,2564983.5199999996,2573889.1399999997,10188768.6600000001,
FS(13),2516580.0000000000,2553060.7999999998,2555427.1199999996,2541945.7999999998,10167013.7200000007,
FS(14),2504642.3999999999,2594897.2000000002,2569898.2399999998,2527103.4399999995,10196541.2799999993,
FS(15),2524206.8000000003,2568366.8000000003,2619318.4800000000,2512906.3999999999,10224798.4799999986,
FS(16),2554382.3999999999,2563264.8000000003,2599386.5600000001,2558724.1199999996,10275757.8799999990,
FS(17),2581905.2000000002,2597958.3999999999,2658909.2799999998,2575179.7799999998,10413952.6600000001,
FS(18),2557035.2000000002,2589795.1999999997,2649898.9599999995,2565177.3199999998,10361906.6799999997,
FS(19),2546092.3999999999,2582652.3999999999,2656178.8799999999,2570017.2200000002,10354940.8999999985,
FS(20),2543108.0000000000,2614284.8000000003,2660547.5199999996,2573566.4800000000,10391506.8000000007,
FS(21),2542776.4000000004,2633672.3999999999,2682117.6799999997,2600669.9199999995,10459236.4000000004,
FS(22),2565988.3999999999,2652039.5999999996,2674199.5199999996,2592280.7599999998,10484508.2799999993,
FS(23),2570299.2000000002,2641835.6000000001,2682117.6799999997,2585504.8999999999,10479757.3799999990,
FS(24),2552392.8000000003,2694896.3999999999,2682936.7999999998,2584536.9199999995,10514762.9199999999,
FS(25),2519232.8000000003,2669386.3999999999,2687305.4399999999,2573889.1399999997,10449813.7799999993,
FS(26),2479772.3999999999,2703059.5999999996,2672834.3199999998,2597120.6599999997,10452786.9799999986,
FS(27),2479772.3999999999,2745916.3999999999,2677476.0000000000,2624869.4199999995,10528034.2200000007,
FS(28),2512269.2000000002,2753059.2000000002,2701776.5600000001,2629386.6599999997,10596491.6199999992,
FS(29),2479772.3999999999,2696937.2000000002,2635973.9199999999,2616480.2599999998,10429163.7799999993,
FS(30),2461534.4000000004,2671427.2000000002,2644984.2399999998,2605832.4800000000,10383778.3200000003,
FS(31),2471482.3999999999,2710202.3999999999,2652356.3199999998,2607445.7799999998,10441486.8999999985,
FS(32),2453576.0000000000,2731630.7999999998,2708602.5600000001,2608413.7599999998,10502223.1199999992,
FS(33),2458550.0000000000,2747957.2000000002,2696315.7599999998,2634549.2200000002,10537372.1799999997,
FS(34),2486736.0000000000,2759181.6000000001,2702049.5999999996,2638098.4800000000,10586065.6799999997,
FS(35),2516248.3999999999,2749998.0000000000,2730445.7599999998,2631645.2799999998,10628337.4399999995,
FS(36),2518901.1999999997,2738773.6000000001,2735360.4800000000,2621642.8199999998,10614678.0999999978,
FS(37),2485741.1999999997,2729590.0000000000,2736452.6399999997,2592926.0799999996,10544709.9199999999,
FS(38),2689675.2000000002,2729590.0000000000,2729353.5999999996,2618416.2200000002,10767035.0199999996,
FS(39),2709571.1999999997,2679590.4000000004,2724711.9199999999,2626805.3799999999,10740678.9000000004,
FS(40),2814356.8000000003,2686733.1999999997,2767033.1199999996,2676172.3599999999,10944295.4800000004,
FS(41),2806066.8000000003,2702039.2000000002,2758568.8799999999,2660039.3599999999,10926714.2400000002,
FS(42),2795455.6000000001,2723467.6000000001,2765667.9199999999,2663588.6199999996,10948179.7400000002,
FS(43),2802087.6000000001,2698978.0000000000,2744916.8799999999,2656812.7599999998,10902795.2400000002,
FS(44),2807061.6000000001,2694896.3999999999,2711606.0000000000,2643261.0400000000,10856825.0400000010,
FS(45),2846853.6000000001,2670406.8000000003,2730445.7599999998,2636162.5200000000,10883868.6799999997,
FS(46),2816014.8000000003,2673468.0000000000,2717066.7999999998,2617770.8999999999,10824320.5000000000,
FS(47),2806066.8000000003,2690814.8000000003,2755292.3999999999,2648746.2599999998,10900920.2599999998,
FS(48),2785507.6000000001,2687753.6000000001,2744097.7599999998,2651004.8799999999,10868363.8399999999,
FS(49),2773901.6000000001,2683672.0000000000,2755292.3999999999,2658426.0600000001,10871292.0599999987,
FS(50),2808388.0000000000,2690814.8000000003,2744643.8399999999,2637130.5000000000,10880977.1400000006,
FS(51),2812698.7999999998,2698978.0000000000,2758295.8399999999,2633258.5799999996,10903231.2199999988,
FS(52),2813362.0000000000,2686733.1999999997,2754200.2399999998,2619061.5400000000,10873356.9800000004,
FS(53),2789486.8000000003,2654080.4000000004,2749285.5199999996,2598411.2999999998,10791264.0199999996,
FS(54),2830605.2000000002,2634692.7999999998,2746282.0799999996,2591958.0999999996,10803538.1799999997,
FS(55),2864096.8000000003,2657141.6000000001,2747920.3199999998,2579051.7000000002,10848210.4199999999,
FS(56),2864760.0000000000,2657141.6000000001,2737271.7599999998,2588731.5000000000,10847904.8599999994,
FS(57),2872386.8000000003,2673468.0000000000,2761572.3199999998,2597120.6599999997,10904547.7799999993,
FS(58),2876697.6000000001,2668366.0000000000,2756657.5999999996,2602283.2200000002,10904004.4199999999,
FS(59),2909194.4000000004,2682651.6000000001,2757203.6799999997,2598088.6399999997,10947138.3200000003,
FS(60),2963908.3999999999,2725508.3999999999,2752562.0000000000,2583891.5999999996,11025870.3999999985,
FS(61),2955950.0000000000,2742855.1999999997,2738636.9599999995,2584536.9199999995,11021979.0799999982,
FS(62),3010000.7999999998,2751018.3999999999,2751196.7999999998,2594216.7200000002,11106432.7200000007,
FS(63),2998726.4000000004,2787752.7999999998,2770309.5999999996,2606800.4600000000,11163589.2599999998,
FS(64),2978167.2000000002,2781630.4000000004,2789695.4399999999,2592926.0799999996,11142419.1199999992,
FS(65),3020280.3999999999,2822446.3999999999,2797613.5999999996,2579051.7000000002,11219392.0999999996,
FS(66),3054766.8000000003,2816324.0000000000,2803620.4800000000,2576793.0799999996,11251504.3599999994,
FS(67),3066704.4000000004,2822446.3999999999,2818364.6399999997,2584859.5799999996,11292375.0199999996,
FS(68),3058082.8000000003,2874486.8000000003,2817272.4800000000,2582278.2999999998,11332120.3800000008,
FS(69),3107159.6000000001,2847956.3999999999,2818364.6399999997,2584214.2599999998,11357694.9000000004,
FS(70),3125397.6000000001,2881629.5999999996,2842392.1599999997,2586150.2200000002,11435569.5800000001,
FS(71),3112465.2000000002,2849997.2000000002,2821095.0399999996,2583246.2799999998,11366803.7200000007,
