代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12305768.3200000003
真實報酬,2305768.3200000003
趨勢值,0.1076722303

選擇檔數,2
找到最佳解世代,2089
找到最佳解實驗,1
Stock#,TRV,V,
分配資金,5000000,5000000,
張數,72390,146284,
剩餘資金,22.7000000005,12.8800000000,
FS(53),5370636.7999999998,5453480.4000000004,10824117.1999999993,
FS(54),5380771.4000000004,5511994.0000000000,10892765.4000000004,
FS(55),5315620.4000000004,5454943.2400000002,10770563.6400000006,
FS(56),5343852.5000000000,5576358.9600000000,10920211.4599999990,
FS(57),5271462.5000000000,5513456.8399999999,10784919.3399999999,
FS(58),5238163.1000000006,5529548.0799999991,10767711.1799999997,
FS(59),5231648.0000000000,5476885.8399999999,10708533.8399999999,
FS(60),5199072.5000000000,5463720.2800000003,10662792.7799999993,
FS(61),5157086.2999999998,5435926.3199999994,10593012.6199999992,
FS(62),5199072.5000000000,5544176.4799999995,10743248.9800000004,
FS(63),5274358.1000000006,5683146.2800000003,10957504.3800000008,
FS(64),5314896.5000000000,5687534.7999999998,11002431.3000000007,
FS(65),5361226.1000000006,5732882.8399999999,11094108.9399999995,
FS(66),5288836.1000000006,5773842.3599999994,11062678.4600000009,
FS(67),5298246.7999999998,5827967.4400000004,11126214.2400000002,
FS(68),5352539.2999999998,5917200.6800000006,11269739.9800000004,
FS(69),5389458.2000000002,5870389.7999999998,11259848.0000000000,
FS(70),5418414.2000000002,5893795.2400000002,11312209.4399999995,
FS(71),5425653.2000000002,5874778.3199999994,11300431.5199999996,
FS(72),5469811.1000000006,5867464.1200000001,11337275.2200000007,
FS(73),5469087.2000000002,5858687.0799999991,11327774.2799999993,
FS(74),5494423.7000000002,5846984.3599999994,11341408.0600000005,
FS(75),5524103.6000000006,5788470.7599999998,11312574.3600000013,
FS(76),5642823.2000000002,5816264.7199999997,11459087.9199999999,
FS(77),5620382.2999999998,5816264.7199999997,11436647.0199999996,
FS(78),5652957.8000000007,5835281.6399999997,11488239.4400000013,
FS(79),5671779.2000000002,5845521.5199999996,11517300.7200000007,
FS(80),5599389.2000000002,5718254.4400000004,11317643.6400000006,
FS(81),5632688.6000000006,5729957.1600000001,11362645.7599999998,
FS(82),5616038.9000000004,5668517.8799999999,11284556.7799999993,
FS(83),5679742.0999999996,5775305.1999999993,11455047.2999999989,
FS(84),5783259.7999999998,5798710.6399999997,11581970.4399999995,
FS(85),5646442.7000000002,5728494.3199999994,11374937.0199999996,
FS(86),5693496.2000000002,5833818.7999999998,11527315.0000000000,
FS(87),5715937.0999999996,5882092.5199999996,11598029.6199999992,
FS(88),5727519.5000000009,5744585.5600000005,11472105.0600000005,
FS(89),5708698.1000000006,5770916.6800000006,11479614.7800000012,
FS(90),5734034.5999999996,5716791.5999999996,11450826.1999999993,
FS(91),5783983.7000000002,5734345.6800000006,11518329.3800000008,
FS(92),5790498.7999999998,5659740.8399999999,11450239.6399999987,
FS(93),5815835.3000000007,5703626.0400000000,11519461.3400000017,
FS(94),5819454.7999999998,5778230.8799999999,11597685.6799999997,
FS(95),5834656.7000000002,5763602.4799999995,11598259.1799999997,
FS(96),5799185.6000000006,5683146.2800000003,11482331.8800000008,
FS(97),5818730.8999999994,5757751.1200000001,11576482.0199999996,
FS(98),5864336.6000000006,5830893.1200000001,11695229.7200000007,
FS(99),5736930.2000000002,5700700.3599999994,11437630.5600000005,
FS(100),5794118.3000000007,5772379.5199999996,11566497.8200000003,
FS(101),5847686.9000000004,5846984.3599999994,11694671.2599999998,
FS(102),5821626.5000000000,5801636.3199999994,11623262.8200000003,
FS(103),5841171.7999999998,5781156.5600000005,11622328.3599999994,
FS(104),5828865.5000000000,5833818.7999999998,11662684.3000000007,
FS(105),5896912.0999999996,5861612.7599999998,11758524.8599999994,
FS(106),5868680.0000000000,5890869.5600000005,11759549.5600000005,
FS(107),5878090.7000000002,5870389.7999999998,11748480.5000000000,
FS(108),5910666.2000000002,5876241.1600000001,11786907.3599999994,
FS(109),5917905.2000000002,5895258.0799999991,11813163.2799999993,
FS(110),5917181.2999999998,5844058.6800000006,11761239.9800000004,
FS(111),5944689.5000000009,5827967.4400000004,11772656.9400000013,
FS(112),5962063.1000000006,5876241.1600000001,11838304.2599999998,
