代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12963215.0700000003
真實報酬,2963215.0700000003
趨勢值,0.1168874576

選擇檔數,2
找到最佳解世代,2605
找到最佳解實驗,1
Stock#,BA,UNH,
分配資金,5000000,5000000,
張數,58651,84788,
剩餘資金,2.2500000000,51.6400000001,
FS(57),5997067.0000000000,5533316.5200000005,11530383.5200000014,
FS(58),5843987.8899999997,5409526.0399999991,11253513.9299999997,
FS(59),5863929.2300000004,5418004.8399999999,11281934.0700000003,
FS(60),5739002.5999999996,5481595.8399999999,11220598.4400000013,
FS(61),5787096.4199999999,5403590.8799999990,11190687.3000000007,
FS(62),5909090.5000000000,5492618.2799999993,11401708.7800000012,
FS(63),6049852.9000000004,5603690.5599999996,11653543.4600000009,
FS(64),6008210.6899999995,5551969.8799999999,11560180.5700000003,
FS(65),6055131.4899999993,5564688.0799999991,11619819.5700000003,
FS(66),5951319.2199999997,5534164.3999999994,11485483.6199999992,
FS(67),6034603.6399999997,5557057.1600000001,11591660.8000000007,
FS(68),6111436.4500000002,5610473.5999999996,11721910.0500000007,
FS(69),6121407.1200000001,5728328.9199999999,11849736.0400000010,
FS(70),6139588.9300000006,5763092.0000000000,11902680.9300000016,
FS(71),6187682.7500000000,5739351.3599999994,11927034.1100000013,
FS(72),6268621.1299999999,5796159.3199999994,12064780.4500000011,
FS(73),5974779.6200000001,5765635.6399999997,11740415.2600000016,
FS(74),6197066.9100000001,5733416.2000000002,11930483.1100000013,
FS(75),6113195.9800000004,5673216.7199999997,11786412.7000000011,
FS(76),6146040.5400000000,5615560.8799999999,11761601.4200000018,
FS(77),6312609.3799999999,5981845.0399999991,12294454.4199999999,
FS(78),6273313.2100000000,6058154.2400000002,12331467.4500000011,
FS(79),6267448.1100000003,6120049.4800000004,12387497.5900000017,
FS(80),6321993.5400000000,6163291.3599999994,12485284.9000000004,
FS(81),6272726.7000000002,6149725.2799999993,12422451.9800000004,
FS(82),6258063.9500000002,6157356.2000000002,12415420.1500000004,
FS(83),6193547.8499999996,6122593.1199999992,12316140.9699999988,
FS(84),6147213.5600000005,6171770.1600000001,12318983.7200000025,
FS(85),6201172.4800000004,6127680.3999999994,12328852.8800000008,
FS(86),6164222.3499999996,6176857.4399999995,12341079.7899999991,
FS(87),6258063.9500000002,6203141.7199999997,12461205.6699999999,
FS(88),6328445.1500000004,6126832.5200000005,12455277.6700000018,
FS(89),6304984.7500000000,6218403.5599999996,12523388.3100000005,
FS(90),6278005.2900000000,6209924.7599999988,12487930.0500000007,
FS(91),6241641.6699999999,6182792.5999999996,12424434.2700000014,
FS(92),6207624.0899999999,6204837.4800000004,12412461.5700000003,
FS(93),6177712.0800000001,6183640.4800000004,12361352.5600000005,
FS(94),6113782.4899999993,6137854.9600000000,12251637.4499999993,
FS(95),6230497.9800000004,6219251.4399999995,12449749.4199999999,
FS(96),6109090.4100000001,6146333.7599999988,12255424.1699999999,
FS(97),6025219.4800000004,6053914.8399999999,12079134.3200000022,
FS(98),6068621.2199999997,6056458.4800000004,12125079.7000000011,
FS(99),6141934.9699999997,6080199.1199999992,12222134.0899999999,
FS(100),6136656.3799999999,6143790.1199999992,12280446.5000000000,
FS(101),6094427.6600000001,6092069.4399999995,12186497.0999999996,
FS(102),6166568.3899999997,6102244.0000000000,12268812.3900000006,
FS(103),6186509.7300000004,6150573.1600000001,12337082.8900000025,
FS(104),6189442.2800000003,6137007.0799999991,12326449.3600000013,
FS(105),6053371.9600000000,6064089.3999999994,12117461.3599999994,
FS(106),6056891.0199999996,6065785.1600000001,12122676.1800000016,
FS(107),6154251.6800000006,6142094.3599999994,12296346.0400000010,
