代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11154425.0800000001
真實報酬,1154425.0800000001
趨勢值,0.1000355511

選擇檔數,5
找到最佳解世代,2015
找到最佳解實驗,1
Stock#,AAPL,DIS,JNJ,MCD,UNH,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,14307,18011,16147,15497,11909,
剩餘資金,24.4700000001,58.5599999999,32.5800000000,112.1499999998,2.5400000000,
FS(19),2015594.6300000001,2024134.7399999998,2031325.1799999999,2006818.6799999999,1960223.9399999999,10038097.1699999999,
FS(20),2057371.0700000003,2036202.1099999999,2029064.6000000001,2006198.7999999998,1969155.6899999999,10097992.2699999996,
FS(21),2061949.3100000003,2026836.3899999999,2017115.8200000001,1996745.6299999999,1946409.5000000000,10049056.6500000022,
FS(22),2059230.9800000002,2038543.5400000000,2012917.6000000001,2004184.1899999997,1964868.4500000002,10079744.7599999998,
FS(23),2055368.0900000001,2042325.8499999999,2011141.4299999999,2008678.3200000001,1953197.6299999999,10070711.3200000003,
FS(24),2055940.3700000001,2038903.7599999998,2013402.0100000000,2008678.3200000001,1972013.8500000001,10088938.3100000005,
FS(25),2071248.8600000003,2036022.0000000000,2013240.5400000003,2003719.2799999998,1964630.2700000000,10088860.9500000011,
FS(26),2060518.6100000003,2035301.5599999998,2015178.1799999999,2021075.9199999999,1969393.8700000001,10101468.1400000006,
FS(27),2055368.0900000001,2036202.1099999999,2019214.9299999999,2017046.7000000000,1969036.6000000001,10096868.4299999997,
FS(28),2050789.8500000003,2027736.9399999997,2017115.8200000001,2014102.2700000000,1977134.7200000002,10086879.6000000015,
FS(29),2048357.6599999999,2025035.2900000000,2007750.5600000001,2014412.2099999997,1970703.8599999999,10066259.5800000001,
FS(30),2026324.8800000001,2036562.3299999996,2005812.9200000002,2033318.5499999998,1974872.0100000002,10076890.6899999995,
