代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12434222.7000000011
真實報酬,2434222.7000000011
趨勢值,0.2667592551

選擇檔數,12
找到最佳解世代,1836
找到最佳解實驗,1
Stock#,AXP,BA,GS,JNJ,JPM,MCD,MMM,NKE,TRV,VZ,WBA,WMT,
分配資金,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,
張數,14883,11258,7038,11964,20419,9571,9228,34166,11745,18896,24309,11681,
剩餘資金,33.8300000000,15.8400000000,33.8000000000,40.3999999999,33.6100000000,81.7400000000,44.6000000000,24.2600000000,25.2500000000,19.4000000000,20.4800000000,10.4600000000,
FS(1),833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,10000000.0000000019,
FS(2),831100.5500000000,833670.7400000001,820523.8400000000,835845.4399999999,828432.4399999999,834672.9400000001,831671.9600000000,834357.9800000001,828400.1000000000,825207.7200000001,833089.9100000000,842444.1800000001,9979421.8000000007,
FS(3),839435.0299999999,831644.3000000002,824394.7399999999,837161.4799999999,841296.4100000000,832471.6100000000,837577.8800000000,834357.9800000001,869155.2500000000,833333.0000000000,864691.6100000000,836954.1100000000,10082477.4000000004,
FS(4),835267.7899999999,832882.6800000002,824887.3999999999,838118.5999999999,846809.5399999999,843191.1300000000,839331.2000000000,840849.5200000000,859172.0000000001,839946.6000000001,871498.1300000000,836253.2500000000,10108211.8399999999,
FS(5),842560.4600000000,840312.9600000001,820453.4599999998,842904.2000000000,869066.2500000000,846923.8200000001,844498.8800000000,842216.1599999999,861990.8000000000,839190.7600000000,877575.3800000000,844429.9500000001,10172127.0800000001,
FS(6),844644.0800000000,850332.5800000001,823550.1799999999,844698.7999999998,863961.5000000000,855824.8500000000,847820.9600000000,837774.5800000000,861403.5500000000,832010.2800000000,883652.6300000000,842794.6100000000,10188472.6000000015,
FS(7),849257.8099999999,853597.4000000000,836570.4800000000,850680.7999999998,870699.7700000000,857834.7600000000,864523.6400000000,849049.3600000001,862460.6000000001,839757.6400000000,890945.3300000000,828076.5499999999,10253458.1399999987,
FS(8),858336.4399999999,849657.1000000001,831151.2200000000,849005.8399999999,873354.2400000001,854867.7500000000,859355.9600000000,847341.0600000001,861051.2000000001,846371.2400000000,891431.5100000000,805298.6000000000,10227226.1600000001,
FS(9),859080.5900000000,836710.4000000000,834036.7999999999,846493.3999999999,873558.4300000001,853527.8100000001,853634.6000000000,831283.0399999999,860111.6000000001,841269.3200000001,887542.0699999999,806466.7000000001,10183718.7599999998,
FS(10),843155.7799999999,833333.0000000000,840089.4800000000,845775.5599999998,874171.0000000000,850752.2200000000,851604.4399999999,827866.4400000001,861755.9000000000,835411.5600000001,893619.3199999999,803079.2100000000,10160617.9099999983,
FS(11),852383.2400000000,840425.5400000002,869156.4199999999,848766.5599999998,887851.7299999999,860610.3500000000,858525.4399999999,837091.2600000000,871386.7999999999,833710.9199999999,902856.7400000000,808335.6600000000,10271104.6599999983,
FS(12),860568.8900000000,850220.0000000000,899279.0599999999,848886.2000000000,895815.1399999999,866448.6599999999,866092.3999999999,844949.4400000001,873031.1000000000,828986.9199999999,912823.4299999999,811839.9600000000,10358945.1999999974,
FS(13),845239.3999999999,850107.4200000002,895619.2999999999,845057.7199999999,888872.6800000001,858696.1499999999,858433.1599999999,835382.9600000000,862460.6000000001,819727.8800000001,905287.6400000000,800392.5800000000,10265281.4899999984,
FS(14),854318.0299999999,857875.4400000001,913003.1599999999,846493.3999999999,909291.6800000001,861854.5800000001,868676.2400000000,845632.7600000000,867041.1499999999,827853.1600000000,912823.4299999999,805999.4600000000,10370866.4900000002,
FS(15),858038.7799999999,857537.7000000001,903994.5199999999,840750.6799999998,898469.6100000000,863194.5200000000,859171.3999999999,897906.7400000000,855296.1499999999,823318.1200000000,882680.2700000000,801911.1100000000,10342273.6000000034,
FS(16),856252.8199999999,855286.1000000001,897660.3199999999,837759.6799999998,896836.0900000000,854676.3300000001,860001.9199999999,902006.6599999999,849893.4500000000,822751.2400000000,886569.7100000000,800976.6299999999,10320674.9500000011,
FS(17),850299.6200000000,855849.0000000000,894985.8799999999,839554.2799999999,897652.8500000000,849412.2799999999,858894.5599999999,877065.4800000001,848836.3999999999,821050.6000000001,891188.4199999999,794201.6499999999,10278995.0199999977,
FS(18),843751.1000000000,853709.9800000001,891537.2599999999,838597.1599999999,890914.5800000001,849220.8600000000,854926.5200000000,884240.3400000000,843551.1499999999,821617.4800000000,888028.2500000000,796537.8500000000,10256636.5300000012,
FS(19),843453.4399999999,840875.8600000001,883443.5599999999,831299.1200000000,882951.1700000000,838309.9199999999,846990.4399999999,871257.2600000000,836739.0499999999,810657.8000000000,888271.3400000000,789762.8700000000,10164015.8299999982,
FS(20),855508.6699999999,848418.7200000001,897801.0800000000,838716.7999999998,897857.0399999999,844339.6499999999,856864.3999999999,881507.0600000001,843551.1499999999,817649.3200000001,899696.5699999999,797005.0900000000,10278919.5500000007,
FS(21),874410.0800000000,867669.9000000000,926656.8799999999,847570.1599999999,911946.1499999999,862620.2600000000,874674.4399999999,885606.9800000001,855765.9500000000,836545.3200000001,925221.0200000000,808802.8999999999,10477494.0400000010,
FS(22),878130.8300000000,872173.1000000001,921589.5199999999,846373.7599999999,910108.4399999999,867501.4700000000,873659.3600000000,894831.8000000000,862343.1500000000,832577.1600000000,918657.5900000000,803663.2599999999,10481613.4399999995,
