代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11552325.6199999992
真實報酬,1552325.6199999992
趨勢值,0.1159594705

選擇檔數,6
找到最佳解世代,2298
找到最佳解實驗,1
Stock#,AXP,DIS,KO,UNH,VZ,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,34874,46309,49870,34350,44126,28436,
剩餘資金,37.5400000000,5.0899999999,10.5999999999,3.9999999999,26.9799999999,32.0400000000,
FS(14),1671199.6200000001,1675001.6199999999,1705564.6000000001,1711321.0000000000,1730207.4399999997,1683158.8799999999,10176457.1600000001,
FS(15),1656203.8000000000,1679632.5200000000,1734489.2000000000,1717160.5000000000,1731089.9599999995,1688846.0800000001,10207426.0599999987,
FS(16),1661086.1600000001,1711122.6399999999,1725512.5999999999,1742579.5000000000,1733737.5199999998,1683158.8799999999,10257201.3000000007,
FS(17),1672245.8400000001,1745854.3899999999,1743964.4999999998,1763876.5000000000,1764184.4599999995,1705907.6800000002,10396037.3700000010,
FS(18),1662132.3799999999,1741686.5799999998,1742468.3999999997,1763876.5000000000,1764625.7199999997,1701357.9199999999,10376151.5000000000,
FS(19),1638069.3200000001,1724552.2500000000,1733491.7999999998,1741892.5000000000,1754476.7399999998,1698514.3199999998,10291000.9299999997,
FS(20),1657250.0200000003,1746317.4800000000,1749450.1999999997,1758037.0000000000,1767273.2799999996,1705907.6800000002,10384239.6600000001,
FS(21),1645044.1200000001,1736592.5899999999,1744961.8999999999,1740862.0000000000,1770362.0999999996,1699367.3999999999,10337194.1099999994,
FS(22),1687590.4000000001,1774102.8799999999,1748951.4999999998,1768685.5000000000,1753152.9599999995,1715575.9199999999,10448063.1600000020,
FS(23),1682359.3000000000,1799109.7400000000,1737980.0999999999,1794448.0000000000,1730207.4399999997,1697945.6000000001,10442054.1800000016,
FS(24),1701888.7400000000,1829210.5899999999,1730000.8999999997,1806470.5000000002,1718293.4199999997,1689699.1600000001,10475567.3099999987,
FS(25),1683405.5200000003,1848197.2799999998,1719029.4999999998,1812997.0000000000,1691376.5599999996,1677756.0400000000,10432765.9000000004,
FS(26),1687590.4000000001,1840787.8399999999,1719029.4999999998,1810936.0000000000,1693141.5999999996,1682874.5200000000,10434363.8600000013,
FS(27),1697355.1200000001,1835230.7600000000,1729003.5000000000,1807501.0000000000,1701966.7999999998,1678893.4800000000,10449954.6600000001,
FS(28),1707119.8400000001,1792163.3899999999,1697086.7000000000,1820897.5000000000,1716528.3799999997,1689130.4399999999,10422930.2500000000,
FS(29),1731531.6399999999,1793552.6599999997,1684619.2000000000,1816088.5000000000,1717410.8999999999,1691974.0400000000,10435180.9399999995,
FS(30),1735367.7800000000,1778270.6899999997,1670156.8999999999,1810249.0000000000,1717410.8999999999,1693111.4800000000,10404570.7500000000,
FS(31),1751409.8200000001,1781975.4099999997,1679133.5000000000,1840133.5000000000,1721823.5000000000,1701926.6400000001,10476406.3699999992,
FS(32),1763266.9800000002,1806982.2700000000,1685616.5999999996,1852843.0000000000,1721382.2399999998,1706476.3999999999,10536571.4900000002,
FS(33),1776867.8400000001,1826432.0499999998,1682125.6999999997,1797196.0000000000,1720940.9799999997,1723538.0000000000,10527104.5700000003,
FS(34),1745132.5000000000,1820411.8799999999,1698084.0999999996,1795478.5000000000,1719617.1999999997,1734912.3999999999,10513640.5800000001,
FS(35),1724208.0999999999,1817633.3399999999,1709055.5000000000,1800974.5000000000,1694465.3799999997,1732068.8000000000,10478409.6199999992,
FS(36),1716884.5599999998,1817633.3399999999,1693097.1000000001,1763189.5000000000,1667548.5199999998,1745718.0800000001,10404075.0999999978,
FS(37),1749666.1200000001,1831989.1299999999,1706561.9999999998,1771433.5000000000,1663135.9199999997,1747992.9600000000,10470783.6300000008,
FS(38),1743040.0599999998,1822264.2400000000,1696089.2999999998,1729526.5000000000,1647691.8199999998,1733774.9600000000,10372390.8800000008,
FS(39),1738506.4400000002,1817633.3399999999,1681626.9999999998,1752541.0000000000,1641955.4399999997,1726381.6000000001,10358648.8200000022,
FS(40),1713048.4199999999,1805593.0000000000,1682125.6999999997,1754258.5000000000,1659605.8399999996,1743158.8399999999,10357794.3000000007,
FS(41),1748619.9000000001,1801425.1899999997,1684120.5000000000,1778990.5000000000,1661812.1399999997,1744865.0000000000,10419837.2300000004,
FS(42),1765359.4199999999,1821338.0599999998,1691601.0000000000,1829485.0000000000,1667989.7799999996,1768182.5200000000,10543959.7800000012,
FS(43),1784191.3799999999,1801888.2799999998,1691601.0000000000,1804753.0000000000,1657399.5399999998,1761357.8799999999,10501195.0800000001,
FS(44),1822204.0400000000,1852365.0899999999,1697585.3999999999,1762502.5000000000,1669754.8199999998,1763917.1200000001,10568332.9700000007,
FS(45),1806859.4800000002,1873667.2300000000,1696588.0000000000,1761815.5000000000,1682992.6199999999,1759651.7200000002,10581578.5500000007,
FS(46),1818019.1600000001,1897747.9099999997,1709554.2000000000,1787234.5000000000,1673284.8999999999,1754248.8799999999,10640093.5500000007,
FS(47),1800930.9000000001,1911177.5200000000,1704068.5000000000,1791013.0000000000,1673284.8999999999,1752258.3599999999,10632737.1800000016,
FS(48),1824296.4800000002,1923217.8599999999,1695091.8999999999,1822615.0000000000,1673284.8999999999,1761926.6000000001,10700436.7400000021,
FS(49),1806859.4800000002,1919513.1399999999,1694094.4999999998,1831546.0000000000,1663135.9199999997,1760220.4399999999,10675373.4800000004,
FS(50),1815926.7200000000,1935258.1999999997,1706561.9999999998,1849751.5000000000,1682551.3599999999,1757092.4800000000,10747146.2599999998,
FS(51),1812090.5800000001,1926459.4900000000,1718032.1000000001,1870705.0000000000,1678580.0199999998,1769319.9600000000,10775191.1500000004,
FS(52),1796746.0200000003,1910251.3399999999,1705564.6000000001,1876201.0000000000,1669313.5599999996,1756239.3999999999,10714319.9199999999,
FS(53),1843825.9199999999,1923680.9499999997,1717034.7000000000,1882040.5000000000,1679021.2799999996,1764201.4800000000,10809808.8300000001,
FS(54),1843477.1799999999,1933405.8399999999,1722021.7000000000,1878262.0000000000,1697112.9399999997,1776713.3199999998,10850996.9799999986,
FS(55),1843128.4400000002,1925070.2200000000,1716037.2999999996,1900246.0000000000,1698436.7199999997,1708182.5600000001,10791105.2400000002,
FS(56),1841036.0000000000,1911177.5200000000,1727008.7000000000,1895437.0000000000,1686081.4399999997,1666381.6400000001,10727126.3000000007,
FS(57),1836851.1200000001,1920902.4099999997,1725013.9000000001,1887193.0000000000,1682551.3599999999,1664675.4800000000,10717191.2699999996,
FS(58),1859867.9600000000,1913029.8799999999,1720525.5999999999,1911581.5000000000,1682992.6199999999,1671784.4800000000,10759786.0399999991,
FS(59),1889510.8600000001,1928311.8499999999,1716536.0000000000,1914329.5000000000,1682551.3599999999,1662400.6000000001,10793644.1700000018,
FS(60),1874863.7800000000,1941741.4599999997,1716536.0000000000,1918108.0000000002,1683433.8799999997,1675765.5200000000,10810452.6400000006,
FS(61),1844523.4000000001,1944520.0000000000,1741969.7000000000,1915016.5000000000,1681668.8399999996,1680030.9199999999,10807733.3600000013,
FS(62),1868237.7200000000,1963043.5999999999,1735486.5999999996,1923260.5000000000,1695789.1599999997,1672637.5600000001,10858459.1399999987,
FS(63),1848010.8000000000,1961654.3299999998,1725013.9000000001,1918108.0000000002,1706379.3999999999,1678040.3999999999,10837210.8300000001,
FS(64),1847313.3200000001,1977399.3899999999,1726509.9999999998,1890628.0000000000,1720940.9799999997,1689130.4399999999,10851926.1300000008,
FS(65),1804418.3000000000,1944983.0899999999,1714541.2000000000,1870705.0000000000,1707261.9199999997,1676902.9600000000,10718816.4700000007,
FS(66),1822901.5200000003,1933405.8399999999,1715538.5999999999,1868300.5000000000,1715204.5999999996,1702211.0000000000,10757566.0600000005,
FS(67),1846615.8400000001,1945909.2700000000,1727507.3999999999,1910207.5000000000,1730648.6999999997,1699651.7600000002,10860544.4700000007,
FS(68),1855334.3400000001,1956097.2500000000,1733491.7999999998,1916047.0000000000,1725353.5799999998,1708466.9199999999,10894794.8900000006,
FS(69),1840338.5200000003,1960728.1499999999,1749450.1999999997,1889941.0000000000,1735061.2999999998,1725528.5200000000,10901051.6900000013,
FS(70),1891952.0400000000,2038064.1799999997,1751943.7000000000,1900589.5000000000,1742121.4599999995,1734628.0400000000,11059302.9199999999,
