代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14116441.0199999996
真實報酬,4116441.0199999996
趨勢值,0.1745641685

選擇檔數,2
找到最佳解世代,2154
找到最佳解實驗,1
Stock#,HD,V,
分配資金,5000000,5000000,
張數,140686,222123,
剩餘資金,19.5600000001,11.2699999997,
FS(73),6430776.6200000010,6392711.2100000000,12823487.8300000001,
FS(74),6461727.5400000000,6319410.6199999992,12781138.1600000001,
FS(75),6571462.6200000010,6386047.5199999996,12957510.1400000006,
FS(76),6601006.6800000006,6341622.9199999999,12942629.5999999996,
FS(77),6551766.5800000010,6461569.3399999999,13013335.9199999999,
FS(78),6605227.2600000007,6468233.0299999993,13073460.2900000010,
FS(79),6609447.8399999999,6528206.2399999993,13137654.0800000001,
FS(80),6602413.5400000000,6490445.3299999991,13092858.8699999992,
FS(81),6644619.3399999999,6605949.2899999991,13250568.6299999990,
FS(82),6692452.5800000010,6461569.3399999999,13154021.9199999999,
FS(83),6676977.1200000010,6508215.1699999999,13185192.2900000010,
FS(84),6669942.8200000003,6450463.1899999995,13120406.0099999998,
FS(85),6667129.1000000006,6454905.6499999994,13122034.7500000000,
FS(86),6526443.1000000006,6377162.5999999996,12903605.7000000011,
FS(87),6667129.1000000006,6421587.1999999993,13088716.3000000007,
FS(88),6727624.0800000010,6550418.5399999991,13278042.6200000010,
FS(89),6767016.1600000011,6505993.9399999995,13273010.0999999996,
FS(90),6835952.3000000007,6470454.2599999998,13306406.5600000005,
FS(91),6913329.6000000006,6512657.6299999999,13425987.2300000004,
FS(92),6959755.9800000004,6483781.6399999997,13443537.6200000010,
FS(93),6921770.7600000007,6497109.0199999996,13418879.7799999993,
FS(94),6900667.8600000003,6479339.1799999997,13380007.0400000010,
FS(95),6869716.9400000004,6599285.5999999996,13469002.5400000010,
FS(96),6947094.2400000012,6470454.2599999998,13417548.5000000000,
FS(97),7004775.5000000000,6483781.6399999997,13488557.1400000006,
FS(98),6989300.0400000000,6512657.6299999999,13501957.6699999999,
FS(99),6969604.0000000000,6597064.3699999992,13566668.3699999992,
FS(100),7052608.7400000012,6668143.7299999995,13720752.4700000007,
FS(101),7039947.0000000000,6652595.1199999992,13692542.1199999992,
FS(102),7021657.8200000003,6628161.5899999999,13649819.4100000001,
FS(103),7021657.8200000003,6608170.5199999996,13629828.3399999999,
FS(104),7077932.2200000007,6552639.7699999996,13630571.9900000002,
FS(105),7032912.7000000011,6608170.5199999996,13641083.2200000007,
FS(106),7034319.5600000005,6683692.3399999999,13718011.9000000004,
FS(107),7013216.6600000011,6608170.5199999996,13621387.1800000016,
FS(108),7121544.8799999999,6719232.0199999996,13840776.9000000004,
FS(109),7115917.4400000004,6637046.5099999998,13752963.9499999993,
FS(110),6944280.5200000005,6483781.6399999997,13428062.1600000001,
FS(111),6999148.0600000005,6519321.3200000003,13518469.3800000008,
FS(112),7122951.7400000012,6721453.2500000000,13844404.9900000002,
FS(113),7169378.1200000010,6839178.4399999995,14008556.5600000005,
FS(114),7272078.9000000004,6710347.0999999996,13982426.0000000000,
FS(115),7319912.1400000006,6779205.2299999995,14099117.3699999992,
FS(116),7288961.2200000007,6763656.6199999992,14052617.8399999999,
FS(117),7253789.7200000007,6730338.1699999999,13984127.8900000006,
FS(118),7239721.1200000010,6719232.0199999996,13958953.1400000006,
FS(119),7189074.1600000011,6559303.4600000000,13748377.6200000010,
FS(120),7207363.3399999999,6603728.0599999996,13811091.4000000004,
FS(121),7303029.8200000003,6763656.6199999992,14066686.4399999995,
FS(122),7297402.3799999999,6841399.6699999999,14138802.0499999989,
FS(123),7308657.2600000007,6859169.5099999998,14167826.7699999996,
FS(124),7286147.5000000000,6830293.5199999996,14116441.0199999996,
