代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11606564.6600000001
真實報酬,1606564.6600000001
趨勢值,0.0899399398

選擇檔數,3
找到最佳解世代,2815
找到最佳解實驗,1
Stock#,MCD,PG,WMT,
分配資金,3333333,3333333,3333333,
張數,33745,46328,51864,
剩餘資金,1.9000000000,33.3999999999,33.7200000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3367415.4500000002,3355107.1600000001,3370156.4400000004,10092680.0500000007,
FS(3),3413983.5499999998,3392169.5600000001,3416315.4000000004,10222469.5099999998,
FS(4),3438617.3999999999,3400508.6000000001,3406461.2400000007,10245588.2400000002,
FS(5),3434230.5499999998,3415333.5600000001,3441728.7600000002,10291293.8699999992,
FS(6),3474049.6499999999,3446836.6000000001,3468698.0400000000,10389585.2899999991,
FS(7),3467638.1000000001,3450542.8400000003,3458843.8799999999,10377025.8200000003,
FS(8),3483835.6999999997,3443593.6399999997,3471291.2400000007,10398721.5800000001,
FS(9),3488559.9999999995,3433401.4800000000,3460918.4400000004,10382880.9199999999,
FS(10),3469662.7999999998,3438034.2799999998,3113429.6400000001,10021127.7199999988,
FS(11),3498008.5999999996,3440813.9599999995,3077124.8400000003,10015948.3999999985,
FS(12),3537152.7999999998,3470000.6000000001,3054304.6800000002,10061459.0800000001,
FS(13),3526016.9499999997,3482045.8799999999,3052230.1200000001,10060293.9499999993,
FS(14),3504082.7000000002,3448226.4400000004,3047043.7200000002,9999353.8599999994,
FS(15),3460214.2000000002,3409310.9199999999,3041338.6800000002,9910864.8000000007,
FS(16),3741310.0500000003,3467684.1999999997,3054823.3200000003,10263818.5700000003,
FS(17),3799351.4500000002,3568679.2399999998,3023704.9199999999,10391736.6099999994,
FS(18),3785516.0000000000,3589990.1199999996,3009183.0000000005,10384690.1199999992,
FS(19),3767293.6999999997,3580724.5200000000,2981176.4399999999,10329195.6600000001,
FS(20),3811162.1999999997,3544588.6800000002,2989474.6800000002,10345226.5600000005,
FS(21),3800363.8000000003,3568215.9599999995,3006071.1600000001,10374651.9199999999,
FS(22),3787878.1499999999,3538566.0399999996,2968729.0800000005,10295174.2699999996,
FS(23),3783153.8500000001,3548758.1999999997,2987918.7600000002,10319831.8099999987,
FS(24),3782141.5000000000,3569605.7999999998,3013850.7600000002,10365599.0599999987,
FS(25),3792939.8999999999,3570069.0800000001,3027335.3999999999,10390345.3799999990,
FS(26),3808125.1499999999,3539029.3199999998,3039782.7600000002,10386938.2299999986,
FS(27),3823647.8500000001,3501040.3599999994,3048599.6400000001,10373288.8499999996,
FS(28),3810824.7500000000,3493164.6000000001,3033559.0800000005,10337549.4299999997,
FS(29),3820610.7999999998,3510305.9599999995,3043413.2400000002,10374331.0000000000,
FS(30),3841870.1499999999,3519108.2799999998,2986362.8400000003,10347342.2699999996,
FS(31),3783153.8500000001,3458881.8799999999,2953688.5200000005,10195725.2500000000,
FS(32),3710939.5499999998,3426452.2799999998,2926200.6000000001,10063593.4299999997,
FS(33),3747721.6000000001,3488531.7999999998,3001403.3999999999,10237657.7999999989,
FS(34),3743672.1999999997,3477876.3599999994,3107724.6000000001,10329274.1600000001,
FS(35),3797326.7500000000,3516328.6000000001,3160107.2400000002,10473763.5899999999,
FS(36),3823310.3999999999,3531153.5600000001,3148178.5200000005,10502643.4800000004,
FS(37),3843894.8499999996,3512622.3599999994,3115504.2000000002,10472022.4099999983,
FS(38),3862792.0499999998,3519571.5600000001,3125358.3599999999,10507722.9699999988,
FS(39),3856380.5000000000,3541809.0000000000,3107724.6000000001,10505915.0999999996,
FS(40),3860429.8999999999,3516328.6000000001,3124321.0800000005,10501080.5800000001,
FS(41),3854693.2500000000,3507063.0000000000,3106168.6800000002,10467925.9299999997,
FS(42),3852331.0999999996,3467220.9199999999,3051711.4800000004,10371264.5000000000,
FS(43),3862117.1499999999,3518181.7199999997,3059491.0800000005,10439790.9499999993,
FS(44),3837483.2999999998,3511232.5200000000,3026298.1200000001,10375014.9399999995,
FS(45),3826347.4499999997,3508916.1199999996,3062084.2800000003,10397348.8499999996,
FS(46),3921170.8999999999,3605741.6399999997,3094239.9600000000,10621153.5000000000,
FS(47),3928594.7999999998,3630758.7600000002,3137805.7200000002,10697160.2799999993,
FS(48),3932306.7500000000,3602035.3999999999,3091646.7600000002,10625989.9099999983,
FS(49),3933994.0000000000,3599719.0000000000,3066752.0400000005,10600466.0399999991,
FS(50),3954915.8999999999,3603888.5200000000,3089053.5600000005,10647858.9800000004,
FS(51),3917121.5000000000,3603425.2399999998,3078680.7600000002,10599228.5000000000,
FS(52),3923195.6000000001,3627052.5200000000,3132100.6800000002,10682349.8000000007,
FS(53),3945804.7500000000,3691448.4400000004,3093202.6800000002,10730456.8700000010,
FS(54),3976512.7000000002,3752138.1199999996,3127432.9199999999,10856084.7400000002,
FS(55),3965039.3999999999,3719708.5200000000,3058972.4399999999,10743721.3599999994,
FS(56),3936693.5999999996,3619640.0399999996,3052230.1200000001,10608564.7599999998,
FS(57),3971450.9499999997,3657629.0000000000,3088534.9199999999,10717615.8699999992,
FS(58),3972463.2999999998,3687742.1999999997,3139880.2800000003,10800086.7799999993,
FS(59),4008907.8999999999,3702567.1600000001,3168405.4800000004,10879881.5399999991,
FS(60),4001146.5499999998,3696544.5200000000,3154920.8400000003,10852612.9100000001,
FS(61),4007220.6499999999,3702567.1600000001,3150771.7200000002,10860560.5299999993,
FS(62),4051764.0499999998,3722951.4800000000,3195374.7600000002,10970091.2899999991,
FS(63),4030167.2500000000,3709516.3599999994,3199005.2400000002,10938689.8499999996,
FS(64),3986636.1999999997,3678939.8799999999,3179296.9199999999,10844873.9999999981,
FS(65),3967739.0000000000,3630758.7600000002,3187595.1600000001,10786093.9199999999,
FS(66),4022405.8999999999,3642340.7600000002,3263316.6000000001,10928064.2599999998,
FS(67),3995409.8999999999,3607131.4800000000,3295990.9199999999,10898533.2999999989,
FS(68),3902948.5999999996,3575628.4400000004,3372749.6400000001,10851327.6799999997,
FS(69),3896874.5000000000,3519571.5600000001,3295472.2800000003,10711919.3399999999,
FS(70),3937705.9499999997,3552001.1600000001,3330739.8000000003,10820447.9099999983,
FS(71),3963014.6999999997,3544588.6800000002,3299621.3999999999,10807225.7799999993,
FS(72),3884726.3000000003,3514012.1999999997,3211452.6000000001,10610192.0999999996,
FS(73),3935343.8000000003,3527910.6000000001,3270577.5600000005,10733832.9600000009,
FS(74),3886751.0000000000,3473706.8400000003,3211971.2400000002,10572430.0800000001,
FS(75),3965039.3999999999,3554780.8400000003,3244645.5600000005,10764466.8000000007,
FS(76),3906998.0000000000,3513085.6399999997,3155439.4800000004,10575524.1199999992,
FS(77),3976512.7000000002,3554317.5600000001,3209378.0400000005,10740209.2999999989,
FS(78),3995409.8999999999,3583967.4800000000,3251387.8799999999,10830766.2599999998,
FS(79),4022405.8999999999,3560340.1999999997,3290804.5200000005,10873551.6199999992,
FS(80),4063912.2500000000,3651143.0800000001,3319329.7200000002,11034386.0500000007,
FS(81),4078760.0500000003,3650679.7999999998,3316736.5200000005,11046177.3699999992,
FS(82),4129714.9999999995,3697934.3599999994,3330739.8000000003,11158390.1599999983,
FS(83),4176958.0000000000,3784567.7199999997,3441728.7600000002,11403255.4799999986,
FS(84),4204966.3500000006,3758160.7600000002,3500853.7200000002,11463981.8300000001,
FS(85),4182694.6499999999,3716465.5600000001,3467660.7600000002,11366821.9699999988,
