代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11260786.2899999991
真實報酬,1260786.2899999991
趨勢值,0.1032928917

選擇檔數,6
找到最佳解世代,2076
找到最佳解實驗,1
Stock#,DIS,DD,GS,MRK,NKE,UNH,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,17777,25672,8572,29142,35072,16537,
剩餘資金,72.2500000000,39.7600000000,183.4800000000,35.0200000001,44.5599999999,67.1400000000,
FS(65),1874301.3600000001,1773974.9600000000,1649350.5599999998,1673660.0800000001,1746980.8799999999,1940684.0899999999,10658955.9299999978,
FS(66),1890833.9700000000,1768327.1199999999,1650807.8000000000,1665500.3200000001,1768374.7999999998,1954575.1699999999,10698423.1799999978,
FS(67),1898122.5400000000,1781933.2800000000,1670780.5599999998,1673660.0800000001,1766270.4799999997,1960528.4899999998,10751299.4299999978,
FS(68),1901322.4000000001,1769097.2800000000,1677209.5599999998,1668414.5200000000,1753293.8399999999,1967970.1399999999,10737311.7399999984,
FS(69),1893500.5200000000,1764733.0399999998,1676695.2400000000,1653260.6799999999,1741018.6399999999,1974088.8300000001,10703300.9499999974,
FS(70),1896167.0699999998,1785270.6400000001,1695039.3200000001,1683276.9399999999,1745578.0000000000,1983184.1799999999,10788520.1499999985,
FS(71),1901855.7100000000,1831993.6799999999,1724012.6799999999,1703384.9200000002,1750838.7999999998,1940187.9799999997,10852277.7699999996,
FS(72),1921765.9500000000,1818900.9600000000,1716383.6000000001,1685608.3000000000,1751890.9600000000,2010966.3399999999,10905520.1099999975,
FS(73),1896700.3799999999,1815563.6000000001,1691867.6799999999,1657631.9800000000,1728392.7200000000,1963174.4099999997,10753334.7699999977,
FS(74),1923899.1899999999,1831223.5200000000,1698296.6799999999,1678905.6399999999,1753644.5599999998,1961024.5999999999,10846998.1899999995,
FS(75),1914299.6100000001,1815306.8799999999,1687495.9600000000,1680362.7400000000,1758905.3599999999,1972600.5000000000,10828975.0499999989,
FS(76),1918921.6299999999,1828656.3200000001,1700182.5200000000,1681237.0000000000,1756450.3199999998,1948291.1099999999,10833742.8999999985,
FS(77),1937765.2500000000,1864597.1199999999,1708668.8000000000,1675991.4399999999,1773284.8799999999,1955732.7600000000,10916044.2499999981,
FS(78),1947187.0600000001,1868961.3599999999,1697353.7600000000,1678614.2200000000,1770479.1199999996,1962843.6699999999,10925443.1899999995,
FS(79),1958386.5699999998,1881797.3599999999,1684752.9200000002,1664043.2200000000,1770128.3999999997,1922328.0199999998,10881440.4900000002,
FS(80),1954120.0900000001,1894633.3599999999,1693067.7600000000,1747972.1799999999,1751189.5199999998,1944652.9700000000,10985639.8799999990,
FS(81),1952164.6200000001,1886931.7600000000,1702239.8000000000,1739229.5800000001,1756801.0400000000,1878835.7100000000,10916206.5099999998,
FS(82),1932787.6899999999,1864597.1199999999,1683895.7200000000,1735732.5400000000,1733302.7999999998,1842288.9399999999,10792608.8100000005,
FS(83),1964786.2900000000,1889755.6799999999,1693410.6399999999,1744475.1399999999,1767322.6399999999,1872055.5400000000,10931809.9299999997,
FS(84),1973852.5600000001,1888215.3599999999,1708583.0800000001,1767205.9000000001,1768374.7999999998,1894545.8599999999,11000781.5600000005,
FS(85),1969941.6200000001,1877433.1199999999,1691353.3599999999,1762834.6000000001,1761009.6799999999,1874866.8300000001,10937443.2099999990,
FS(86),1950564.6899999999,1860232.8799999999,1682438.4800000000,1756131.9399999999,1757502.4799999997,1876851.2699999998,10883725.7400000002,
FS(87),1942387.2700000000,1851504.4000000001,1692210.5599999998,1757297.6199999999,1779247.1199999996,1897853.2600000000,10920504.2299999986,
FS(88),1957497.7200000000,1895660.2400000000,1718869.4800000000,1770120.1000000001,1796432.3999999997,1913067.3000000000,11051651.2400000002,
