代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11181284.5000000019
真實報酬,1181284.5000000019
趨勢值,0.0818086677

選擇檔數,3
找到最佳解世代,2724
找到最佳解實驗,1
Stock#,AAPL,PG,UNH,
分配資金,3333333,3333333,3333333,
張數,35597,41167,25233,
剩餘資金,29.9200000000,41.0100000000,53.7000000001,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000019,
FS(2),3388152.3800000004,3338684.7100000000,3342416.8800000004,10069254.9700000007,
FS(3),3352911.3499999996,3359268.2100000000,3331566.6900000004,10043747.2500000000,
FS(4),3319094.1999999997,3346918.1100000003,3338631.9300000002,10004645.2400000002,
FS(5),3300583.7599999998,3381086.7200000002,3331819.0200000000,10013490.5000000000,
FS(6),3303075.5500000003,3380675.0500000003,3347715.8100000001,10031467.4100000020,
FS(7),3325501.6600000001,3395495.1700000004,3370425.5100000002,10091423.3400000017,
FS(8),3293108.3900000001,3381910.0600000005,3297754.4700000002,9972773.9200000018,
FS(9),3215862.8999999999,3392613.4800000000,3273783.1200000006,9882260.5000000019,
FS(10),3222270.3599999999,3344036.4200000004,3255110.7000000002,9821418.4800000023,
FS(11),3341876.2799999998,3360503.2200000002,3296492.8199999998,9998873.3200000003,
FS(12),3327993.4499999997,3318924.5500000003,3269241.1800000002,9916160.1800000016,
FS(13),3366082.2400000002,3287225.9600000000,3293212.5299999998,9946521.7300000004,
FS(14),3353267.3199999998,3301222.7400000002,3280343.7000000002,9934834.7599999998,
FS(15),3389576.2599999998,3294224.3500000001,3304062.7200000002,9987864.3300000001,
FS(16),3432648.6300000004,3301634.4100000001,3290941.5600000001,10025225.6000000015,
FS(17),3484976.2200000002,3333333.0000000000,3345697.1700000004,10164007.3900000006,
FS(18),3546203.0600000001,3354328.1700000004,3366640.5600000001,10267172.7900000010,
FS(19),3574324.6899999999,3343624.7500000000,3355538.0400000000,10273488.4800000004,
FS(20),3572188.8699999996,3352269.8200000003,3381275.7000000002,10305735.3900000006,
FS(21),3554746.3399999999,3336214.6900000004,3372948.8100000001,10263910.8400000017,
FS(22),3504910.5399999996,3367089.9400000004,3394649.1900000004,10266650.6699999999,
FS(23),3478568.7599999998,3373676.6600000001,3432751.0200000000,10284997.4400000013,
FS(24),3485688.1600000001,3395083.5000000000,3452937.4200000004,10333710.0800000019,
FS(25),3510962.0299999998,3407433.6000000001,3485992.6500000004,10404389.2799999993,
FS(26),3525200.8300000001,3388908.4500000002,3455460.7200000002,10369571.0000000000,
FS(27),3521997.0999999996,3402493.5600000005,3542766.9000000004,10467258.5600000005,
FS(28),3547270.9700000002,3423900.4000000004,3549832.1400000001,10521004.5100000016,
FS(29),3518081.4299999997,3425135.4100000001,3513496.6200000006,10456714.4600000009,
FS(30),3465041.8999999999,3399200.2000000002,3484478.6700000004,10348721.7700000014,
FS(31),3469313.5399999996,3431310.4600000000,3478927.4100000001,10379552.4100000001,
FS(32),3457922.5000000000,3414843.6600000001,3463535.2799999998,10336302.4400000013,
FS(33),3472517.2700000000,3433780.4800000000,3498861.4800000000,10405160.2300000004,
FS(34),3393491.9299999997,3422253.7200000002,3474385.4700000002,10290132.1200000010,
FS(35),3385304.6199999996,3418548.6900000004,3495328.8600000003,10299183.1700000018,
FS(36),3414138.1899999999,3433780.4800000000,3487001.9700000002,10334921.6400000006,
FS(37),3401323.2700000000,3440367.2000000002,3479684.4000000004,10321375.8700000010,
FS(38),3420901.6199999996,3466714.0800000001,3512234.9700000002,10399851.6699999999,
FS(39),3324789.7200000002,3386438.4300000006,3464292.2700000000,10175521.4200000018,
FS(40),3276377.8000000003,3344036.4200000004,3459750.3300000005,10080165.5500000026,
FS(41),3331553.1499999999,3394671.8300000001,3500123.1300000004,10226349.1100000013,
FS(42),3360386.7200000002,3454363.9800000000,3545794.8600000003,10360546.5600000024,
FS(43),3403103.1199999996,3485650.9000000004,3562953.2999999998,10451708.3200000003,
FS(44),3413426.2500000000,3490179.2700000005,3554374.0800000005,10457980.6000000015,
FS(45),3381388.9499999997,3517349.4900000002,3572037.1800000002,10470776.6200000010,
FS(46),3400611.3300000001,3500471.0200000005,3592728.2400000002,10493811.5899999999,
FS(47),3415206.0999999996,3492237.6200000001,3552860.1000000006,10460304.8200000003,
FS(48),3441547.8800000004,3530934.6000000001,3564719.6100000003,10537203.0900000017,
FS(49),3452226.9800000000,3530111.2600000002,3540748.2600000002,10523087.5000000019,
FS(50),3467889.6600000001,3530111.2600000002,3529141.0800000005,10527143.0000000019,
FS(51),3448311.3100000001,3535874.6400000001,3570018.5400000000,10554205.4900000002,
FS(52),3516657.5500000003,3535051.3000000003,3553869.4200000004,10605579.2700000014,
FS(53),3516301.5800000001,3540814.6800000006,3566233.5900000003,10623350.8500000015,
FS(54),3553678.4299999997,3537521.3200000003,3551598.4500000002,10642799.2000000011,
FS(55),3555102.3100000001,3547401.4000000004,3598027.1700000004,10700531.8800000008,
FS(56),3558306.0399999996,3512409.4500000002,3608877.3600000003,10679593.8500000015,
FS(57),3539439.6300000004,3509939.4300000006,3605092.4100000001,10654472.4700000025,
FS(58),3512029.9399999999,3528876.2500000000,3625783.4700000002,10666690.6600000001,
FS(59),3465041.8999999999,3532169.6100000003,3576326.7900000000,10573539.3000000007,
FS(60),3441191.9100000001,3510351.1000000001,3575569.7999999998,10527113.8100000005,
FS(61),3664741.0699999998,3477005.8300000001,3575065.1400000001,10716813.0400000010,
FS(62),3714220.8999999999,3491414.2800000003,3602316.7799999998,10807952.9600000009,
FS(63),3709593.2899999996,3523524.5400000005,3613419.2999999998,10846538.1300000008,
FS(64),3775091.7700000000,3557281.4800000000,3621241.5299999998,10953615.7800000012,
FS(65),3719204.4800000000,3571689.9300000006,3612662.3100000001,10903557.7200000007,
FS(66),3765836.5500000003,3539168.0000000000,3605344.7400000002,10910350.2900000010,
FS(67),3768684.3100000001,3542461.3600000003,3601055.1300000004,10912201.8000000007,
FS(68),3825995.4800000000,3531346.2700000005,3608120.3700000006,10965463.1200000010,
FS(69),3857676.8100000001,3530522.9300000006,3586419.9900000002,10974620.7300000004,
FS(70),3873339.4900000002,3539991.3399999999,3578597.7600000002,10991929.5900000017,
FS(71),3844505.9199999999,3553164.7800000003,3587933.9700000002,10985605.6700000018,
FS(72),3842014.1300000004,3570454.9200000004,3599036.4900000002,11011506.5400000010,
FS(73),3850913.3800000004,3583216.6900000004,3605344.7400000002,11039475.8100000005,
FS(74),3897189.4800000000,3582393.3500000001,3573551.1600000001,11053134.9900000002,
FS(75),3893629.7799999998,3564279.8700000001,3559925.3400000003,11017835.9900000002,
FS(76),3887934.2599999998,3579923.3300000001,3575822.1300000004,11043680.7200000007,
FS(77),3882950.6799999997,3599683.4900000002,3587429.3100000001,11070064.4800000004,
FS(78),3892917.8399999999,3594331.7800000003,3584149.0200000000,11071399.6400000006,
FS(79),3862660.3900000001,3575394.9600000000,3585410.6700000004,11023467.0200000014,
FS(80),3874763.3699999996,3598036.8100000005,3583392.0299999998,11056193.2100000009,
