代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11954299.8399999999
真實報酬,1954299.8399999999
趨勢值,0.1193153143

選擇檔數,7
找到最佳解世代,2116
找到最佳解實驗,1
Stock#,AAPL,DIS,MRK,PG,VZ,WBA,XOM,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,8448,14277,24639,19852,29262,21836,18564,
剩餘資金,14.2000000000,14.3800000000,1.7800000001,21.0800000001,0.1600000000,59.8800000000,71.1999999999,
FS(11),1575059.3199999998,1469403.2200000000,1458630.5800000001,1448224.4800000002,1398431.1399999999,1410883.8399999999,1518420.7600000000,10279056.3399999999,
FS(12),1589758.8400000001,1499670.4600000000,1472182.0300000000,1459738.6400000001,1400479.4800000000,1435558.5199999998,1522690.4800000000,10380081.4499999993,
FS(13),1579705.7200000000,1489676.5599999998,1455427.5100000000,1468275.0000000000,1400186.8599999999,1441017.5199999998,1520091.5199999998,10354383.6900000013,
FS(14),1573961.0800000001,1483822.9900000000,1457152.2400000000,1458150.4800000002,1396968.0400000000,1404988.1199999999,1509324.3999999999,10284370.3499999996,
FS(15),1585112.4399999999,1485679.0000000000,1443108.0100000000,1470260.2000000002,1417158.8199999998,1408481.8799999999,1527517.1199999999,10337320.4700000007,
FS(16),1581141.8799999999,1485821.7699999998,1440151.3300000001,1469664.6400000001,1428278.3799999999,1402586.1599999999,1515636.1599999999,10323283.3200000003,
FS(17),1591279.4800000000,1468974.9099999999,1457891.4100000001,1472642.4400000002,1421840.7400000000,1395598.6399999999,1525103.8000000000,10333334.4199999999,
FS(18),1589505.3999999999,1457838.8499999999,1456905.8500000001,1464503.1200000001,1423303.8399999999,1384680.6399999999,1490203.4800000000,10266944.1799999997,
FS(19),1593138.0400000000,1459123.7800000000,1455920.2900000000,1475223.2000000002,1419792.3999999999,1387300.9600000000,1461243.6399999999,10251745.3099999987,
FS(20),1587393.3999999999,1423288.5099999998,1438919.3799999999,1470061.6799999999,1410428.5600000001,1369177.0799999998,1455860.0800000001,10155131.6899999995,
FS(21),1584014.2000000000,1427428.8399999999,1471442.8600000001,1486737.3600000001,1422133.3599999999,1387519.3199999998,1513037.2000000000,10292316.1400000006,
FS(22),1578691.9600000000,1420147.5699999998,1466761.4500000000,1452591.9200000002,1394919.7000000000,1362407.9199999999,1508210.5599999998,10183734.0799999982,
FS(23),1607161.7200000000,1418577.0999999999,1492139.6200000001,1458150.4800000002,1399016.3799999999,1372670.8399999999,1519163.3199999998,10266882.4599999990,
FS(24),1620594.0400000000,1431140.8599999999,1528112.5600000001,1472642.4400000002,1399309.0000000000,1382278.6799999999,1503198.2800000000,10337278.8599999994,
FS(25),1633097.0800000001,1426857.7599999998,1512589.9900000000,1468473.5200000000,1403698.2999999998,1373325.9199999999,1497814.7200000000,10315860.2899999991,
FS(26),1638757.2399999998,1454983.4500000000,1525895.0500000000,1476017.2800000000,1416573.5799999998,1379003.2799999998,1523433.0400000000,10414665.9199999999,
FS(27),1634364.2800000000,1462978.5699999998,1527373.3900000001,1504008.6000000001,1434130.7799999998,1388829.4800000000,1538655.5199999998,10490343.6200000010,
FS(28),1619495.7999999998,1484536.8399999999,1541910.3999999999,1532198.4400000002,1439105.3199999998,1384462.2799999998,1552021.5999999999,10553733.6799999997,
FS(29),1615525.2399999998,1489819.3299999998,1535750.6499999999,1539146.6400000001,1442616.7599999998,1398874.0400000000,1542739.5999999999,10564475.2599999979,
FS(30),1624395.6399999999,1489533.7899999998,1538460.9399999999,1533389.5600000001,1428278.3799999999,1391013.0799999998,1530116.0800000001,10535190.4699999988,
FS(31),1611047.7999999998,1517802.2500000000,1542156.7900000000,1518103.5200000000,1387018.9600000000,1395598.6399999999,1513222.8400000001,10484953.8000000007,
FS(32),1611892.6000000001,1552638.1299999999,1516778.6200000001,1508574.5600000001,1399309.0000000000,1416561.2000000000,1520277.1599999999,10526034.2699999996,
FS(33),1595334.5200000000,1554065.8299999998,1528358.9500000000,1536168.8400000001,1406331.8799999999,1436868.6799999999,1497443.4399999999,10554575.1400000006,
FS(34),1594489.7200000000,1528510.0000000000,1502734.3900000001,1505596.7600000002,1388774.6799999999,1400839.2800000000,1500413.6799999999,10421361.5099999998,
FS(35),1568723.3199999998,1514804.0799999998,1503719.9500000000,1515324.2400000000,1419207.1599999999,1410883.8399999999,1498186.0000000000,10430851.5900000017,
FS(36),1575566.2000000000,1529794.9299999999,1509879.7000000000,1505795.2800000000,1407209.7400000000,1484907.8799999999,1493545.0000000000,10506701.7300000004,
FS(37),1566780.2800000000,1511805.9099999999,1507415.8000000000,1517507.9600000000,1423011.2200000000,1480322.3200000001,1479436.3599999999,10486282.8499999996,
FS(38),1562218.3599999999,1518230.5599999998,1514561.1100000001,1537161.4400000002,1456077.2799999998,1476391.8399999999,1510809.5199999998,10575453.1100000013,
FS(39),1538986.3599999999,1491247.0300000000,1504951.8999999999,1544308.1600000001,1451395.3599999999,1468312.5199999998,1480364.5599999998,10479568.8899999987,
FS(40),1558078.8400000001,1488534.3999999999,1496081.8600000001,1548477.0800000001,1442616.7599999998,1453682.3999999997,1497072.1599999999,10484546.5000000000,
FS(41),1555797.8799999999,1484251.2999999998,1475385.1000000001,1542322.9600000000,1442909.3799999999,1446913.2400000000,1516935.6399999999,10464518.4999999981,
FS(42),1567118.2000000000,1495815.6699999999,1485733.4800000000,1549469.6799999999,1488265.4800000000,1303669.0799999998,1521762.2800000000,10411836.8699999992,
FS(43),1563823.4800000000,1496386.7500000000,1495589.0800000001,1549668.2000000002,1472171.3799999999,1310656.5999999999,1535870.9199999999,10424169.4100000001,
