代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10576777.4700000007
真實報酬,576777.4700000007
趨勢值,1.9608621702

選擇檔數,10
找到最佳解世代,2495
找到最佳解實驗,17
Stock#,AXP,CVX,INTC,JNJ,KO,MCD,MMM,TRV,UTX,V,
分配資金,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
張數,11044,8515,25614,7620,22321,6371,4700,8108,8504,9484,
剩餘資金,76.2399999999,83.5499999999,29.4400000000,103.6000000000,19.2000000001,7.8399999999,28.0000000000,121.4400000001,99.6800000000,7.0400000000,
FS(1),1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,10000000.0000000000,
FS(2),1009829.1599999999,1003320.8499999999,1008708.7600000001,1006705.6000000000,1008705.1900000001,999362.9000000000,1008507.0000000000,1003081.0400000000,1001105.5200000000,1001422.6000000001,10050748.6200000010,
FS(3),1005190.6799999999,1001277.2499999999,1007684.2000000002,1012725.3999999999,1015624.7000000001,1001592.7500000000,1017672.0000000000,1004702.6400000001,1000425.2000000001,998767.0800000001,10065661.8999999985,
FS(4),1006847.2799999998,1009792.2499999999,1012550.8600000001,1015011.3999999999,1016071.1200000001,1011722.6400000000,1016967.0000000000,1009080.9600000001,1005017.3600000001,1007587.2000000000,10110648.0699999984,
FS(5),1011154.4399999998,996593.9999999999,1015112.2600000001,1015240.0000000000,1015401.4900000001,1016819.4399999999,1017672.0000000000,1014189.0000000000,1005527.6000000001,1012234.3600000001,10119944.5899999999,
FS(6),1012700.5999999999,1002384.1999999998,1021003.4800000001,1016992.5999999999,1013615.8099999999,1020132.3600000000,1018424.0000000000,1013216.0400000000,1008929.2000000001,1014889.8800000001,10142288.1699999999,
FS(7),1014909.3999999999,1011665.5499999999,1015624.5400000000,1020421.6000000000,1023883.4700000000,1023063.0200000000,1018753.0000000000,1021242.9600000001,1004592.1600000000,1017735.0800000001,10171890.7799999975,
FS(8),1015682.4799999997,1016178.4999999999,1006659.6400000000,1041376.6000000000,1029017.3000000000,1039436.4900000000,1017625.0000000000,1018567.3200000001,1001445.6800000001,1028452.0000000000,10214441.0099999998,
FS(9),1011817.0799999998,1014560.6499999999,1003842.1000000000,1042748.2000000001,1029240.5100000000,1044278.4500000000,1022701.0000000000,1021324.0400000000,1010544.9600000000,1025322.2800000000,10226379.2699999996,
FS(10),1025622.0799999998,1014730.9500000000,1016136.8200000001,1039700.2000000001,1030802.9800000001,1053580.1099999999,1023312.0000000000,1027161.8000000000,1009694.5600000001,1030538.4800000000,10271279.9800000004,
FS(11),1015682.4799999997,1022990.4999999999,1018442.0800000000,1037338.0000000000,1040624.2200000000,1051286.5499999998,1028012.0000000000,1044594.0000000000,1012160.7200000001,1027124.2400000000,10298254.7899999991,
FS(12),1012700.5999999999,1023756.8500000000,1019210.5000000000,1072923.4000000001,1038392.1200000001,1053771.2400000000,1023453.0000000000,1043215.6400000001,1015137.1200000000,1019916.4000000001,10322476.8699999992,
FS(13),1017007.7599999999,1006130.7999999999,1030992.9400000001,1072085.2000000002,1035713.6000000001,1056128.5100000000,1025897.0000000000,1054323.6000000001,1013606.4000000001,1022382.2400000000,10334268.0499999989,
FS(14),1015019.8400000000,1006556.5499999999,1026894.7000000002,1082448.4000000001,1039954.5900000002,1060779.3399999999,1030456.0000000000,1079863.7999999998,1016242.6400000000,1014984.7200000000,10373200.5799999982,
FS(15),1017118.2000000000,1010303.1499999999,1035603.4600000001,1085191.6000000001,1035267.1800000002,1059505.1399999999,1040232.0000000000,1081080.0000000000,1028488.4000000001,1020011.2400000000,10412800.3699999992,
FS(16),1020320.9599999998,1012772.5000000000,1045849.0600000001,1094488.0000000002,1033927.9200000000,1040646.9800000000,1041313.0000000000,1090242.0399999998,1028148.2400000001,1019821.5600000001,10427530.2599999979,
FS(17),1036666.0799999998,1015327.0000000000,1048922.7400000000,1079400.3999999999,1030802.9800000001,1044087.3199999999,1102883.0000000000,1080025.9600000000,1018368.6400000000,1028167.4800000000,10484651.5999999978,
FS(18),1033021.5599999999,1008600.1499999999,1044568.3600000001,1084886.8000000003,1027901.2500000000,1042176.0200000000,1117124.0000000000,1068593.6799999999,1011990.6400000000,1038410.2000000000,10477272.6599999983,
FS(19),1056876.5999999999,1008600.1499999999,1059168.3400000001,1080695.8000000000,1031919.0300000000,1044915.5499999999,1094846.0000000000,1069890.9600000000,1019984.4000000001,1041350.2400000000,10508247.0699999984,
FS(20),1057981.0000000000,966876.6500000000,1137291.0399999998,1080467.2000000002,1028347.6700000000,1053707.5299999998,1103306.0000000000,1062755.9199999999,1012670.9600000000,1040496.6799999999,10543900.6499999985,
FS(21),1050029.3199999998,974114.3999999999,1136522.6199999999,1066903.6000000001,1023660.2600000000,1059059.1699999997,1085822.0000000000,1075404.3999999999,1019134.0000000000,1043626.4000000001,10534276.1699999981,
FS(22),1054999.1199999999,986886.8999999999,1165210.3000000000,1062407.8000000000,1026338.7800000000,1063391.4499999997,1081921.0000000000,1074026.0399999998,1018538.7200000001,1043057.3600000001,10576777.4700000007,
