代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14037655.5199999996
真實報酬,4037655.5199999996
趨勢值,0.1382839497

選擇檔數,8
找到最佳解世代,1887
找到最佳解實驗,1
Stock#,AAPL,BA,DD,KO,MCD,MMM,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10761,7963,15238,29904,10449,7020,7742,15723,
剩餘資金,109.8499999999,47.8900000000,26.8600000000,12.8000000001,90.6200000000,88.9999999999,54.1000000001,21.5000000000,
FS(11),1291322.2399999998,1260750.0499999998,1252285.7000000000,1234748.9600000000,1282287.4099999999,1253088.8000000000,1221277.1800000002,1282861.0700000001,10078621.4099999983,
FS(12),1289062.4299999999,1266164.8899999999,1238876.2599999998,1230263.3600000001,1276749.4399999999,1254422.6000000001,1228709.5000000000,1285062.2900000000,10069310.7699999996,
FS(13),1291429.8499999999,1270385.2799999998,1245123.8399999999,1235646.0800000001,1277585.3599999999,1253088.8000000000,1228399.8200000001,1286791.8200000001,10088450.8499999996,
FS(14),1292290.7299999997,1256927.8099999998,1239942.9199999999,1238935.5200000000,1268390.2399999998,1253229.2000000000,1231574.0400000000,1291665.9500000002,10072956.4099999983,
FS(15),1291107.0199999998,1278507.5400000000,1294190.2000000000,1252990.3999999999,1264942.0699999998,1235398.3999999999,1242103.1600000001,1308646.7900000000,10167885.5800000001,
FS(16),1311660.5299999998,1332735.5700000001,1306532.9799999997,1259569.2800000000,1272674.3299999998,1240733.5999999999,1248374.1800000002,1319181.2000000002,10291461.6699999981,
FS(17),1312306.1899999999,1346750.4500000000,1332894.7199999997,1250299.0400000000,1273614.7399999998,1241365.3999999999,1260064.6000000001,1308804.0200000000,10326099.1599999983,
FS(18),1312413.7999999998,1335442.9899999998,1330456.6399999999,1239533.6000000001,1283854.7599999998,1245998.5999999999,1261922.6800000002,1317137.2100000000,10326760.2799999975,
FS(19),1308970.2799999998,1318481.7999999998,1305313.9399999997,1237440.3200000001,1285526.5999999999,1231537.3999999999,1254954.8800000001,1316036.6000000001,10258261.8199999984,
FS(20),1305957.1999999997,1301361.3499999999,1294037.8199999998,1243122.0800000001,1280824.5499999998,1227325.3999999999,1255032.3000000000,1300470.8299999998,10208131.5299999993,
FS(21),1385588.5999999999,1305741.0000000000,1308513.9199999999,1233851.8400000001,1279257.2000000000,1229782.3999999999,1259754.9200000002,1296225.6199999999,10298715.4999999981,
FS(22),1383221.1799999999,1292124.2699999998,1299066.3599999999,1238038.3999999999,1287616.3999999999,1222832.6000000001,1244658.0200000000,1294024.3999999999,10261581.6299999990,
FS(23),1389139.7300000000,1293239.0899999999,1306532.9799999997,1242224.9600000000,1298274.3799999999,1228869.8000000000,1253251.6400000001,1353457.3400000001,10364989.9199999981,
FS(24),1402160.5399999998,1305820.6299999999,1302418.7199999997,1242823.0400000000,1300468.6699999999,1229291.0000000000,1242722.5200000000,1349526.5900000001,10375231.7099999990,
FS(25),1415504.1799999999,1325887.3899999999,1297542.5600000001,1252990.3999999999,1301931.5300000000,1233924.2000000000,1242877.3600000001,1348740.4399999999,10419398.0599999987,
FS(26),1420992.2899999998,1304466.9199999999,1296171.1399999999,1256578.8800000001,1302767.4500000000,1243120.3999999999,1241174.1200000001,1337891.5700000001,10403162.7699999996,
FS(27),1425081.4699999997,1308209.5299999998,1307752.0199999998,1233552.8000000000,1300782.1399999999,1250912.6000000001,1242180.5800000001,1345595.8400000001,10414066.9799999986,
FS(28),1421853.1699999999,1323737.3799999999,1327866.1799999999,1213517.1200000001,1314783.7999999998,1256669.0000000000,1244580.6000000001,1350627.2000000002,10453634.4499999974,
FS(29),1434443.5399999998,1338070.7799999998,1335942.3199999998,1214713.2800000000,1311858.0799999998,1270849.4000000001,1254180.6800000002,1359117.6199999999,10519175.6999999974,
FS(30),1453060.0700000001,1341813.3899999999,1339294.6799999999,1212021.9200000002,1314679.3099999998,1274921.0000000000,1263006.5600000001,1365564.0499999998,10564360.9800000004,
FS(31),1458332.9599999997,1348183.7900000000,1325885.2400000000,1209330.5600000001,1321680.1399999999,1275623.0000000000,1271987.2800000000,1376412.9200000002,10587435.8899999987,
FS(32),1456611.1999999997,1360207.9199999999,1332589.9600000000,1232057.6000000001,1323978.9199999999,1287627.2000000000,1267032.4000000001,1374368.9299999999,10634474.1299999990,
FS(33),1460592.7699999998,1375337.6199999999,1329389.9799999997,1232954.7200000000,1335472.8199999998,1284398.0000000000,1220348.1400000001,1375155.0799999998,10613649.1299999990,
FS(34),1471138.5499999998,1398032.1699999999,1328475.7000000000,1239832.6400000001,1337980.5799999998,1287346.4000000001,1243187.0400000000,1382387.6599999999,10688380.7400000002,
FS(35),1475550.5600000001,1396439.5700000001,1381656.3199999998,1244019.2000000002,1335995.2699999998,1306089.8000000000,1243187.0400000000,1380500.8999999999,10763438.6600000001,
FS(36),1469309.1799999999,1408384.0700000001,1375103.9799999997,1245813.4399999999,1340383.8500000001,1314162.8000000000,1258903.3000000000,1386475.6400000001,10798536.2599999998,
FS(37),1470708.1099999999,1413002.6099999999,1379065.8599999999,1249401.9200000002,1344354.4700000000,1315707.2000000000,1262464.6200000001,1390406.3900000001,10825111.1799999997,
FS(38),1473613.5799999998,1428848.9800000000,1365199.2800000000,1246112.4800000000,1327009.1299999999,1312197.2000000000,1280426.0600000001,1383645.5000000000,10817052.2099999990,
FS(39),1474259.2400000000,1435219.3799999999,1351027.9399999997,1254784.6400000001,1333905.4700000000,1308266.0000000000,1280426.0600000001,1382702.1199999999,10820590.8499999978,
