代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12114939.4000000004
真實報酬,2114939.4000000004
趨勢值,0.0397842239

選擇檔數,5
找到最佳解世代,2264
找到最佳解實驗,3
Stock#,CAT,MRK,PG,UNH,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,29416,38109,25519,17173,32541,
剩餘資金,6.1600000002,39.6800000001,75.9699999999,32.4200000001,30.1400000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1979114.6400000001,2025533.0300000000,2006379.7500000000,2003778.0600000003,2047509.8599999999,10062315.3400000017,
FS(3),1947933.6800000002,1997713.4600000002,1986985.3100000001,1983342.1900000002,2068010.6899999997,9983985.3300000019,
FS(4),1880865.2000000002,1980183.3200000003,1969632.3900000001,1924953.9900000002,2116171.3700000001,9871806.2700000014,
FS(5),1861744.8000000000,1946647.4000000001,1938754.3999999999,1891810.1000000001,2067685.2799999998,9706641.9800000004,
FS(6),1808207.6800000002,1953125.9300000002,1956617.7000000000,1881849.7600000002,2089813.1599999999,9689614.2300000004,
FS(7),1812031.7600000002,1972561.5200000000,1952534.6600000001,1927873.4000000001,2070288.5599999998,9735289.9000000004,
FS(8),1791146.4000000001,1930641.6200000001,1935692.1199999999,1875839.2100000002,2014968.8599999999,9548288.2100000009,
FS(9),1831740.4800000002,1974085.8800000001,1943347.8200000001,1902113.9000000001,2052065.5999999999,9703353.6800000016,
FS(10),1761142.0800000001,1948933.9400000002,1913490.5900000001,1876526.1300000001,2015294.2699999998,9515387.0100000016,
FS(11),1736432.6400000001,1956555.7400000002,1958148.8400000001,1933368.7600000002,2035795.0999999999,9620301.0800000019,
FS(12),1729961.1200000001,1926449.6300000001,1935181.7400000000,1971321.0900000003,1979824.5800000001,9542738.1600000001,
FS(13),1755847.2000000002,1940549.9600000002,1957893.6499999999,1949167.9200000002,2013667.2200000000,9617125.9500000011,
FS(14),1793793.8400000001,1956936.8300000003,1974225.8100000001,1963421.5100000002,2040025.4299999999,9728403.4199999999,
FS(15),1703486.7200000000,1940549.9600000002,1961211.1199999999,1947107.1600000001,2064756.5900000001,9617111.5500000007,
FS(16),1740256.7200000000,1960747.7300000002,2011228.3600000001,1957067.5000000000,2082654.1399999999,9751954.4500000011,
FS(17),1715547.2800000003,1919590.0100000000,2010973.1699999999,1929075.5100000002,2081027.0900000001,9656213.0600000005,
FS(18),1796735.4400000002,1875002.4800000002,2037002.5499999998,1912761.1600000001,2089813.1599999999,9711314.7900000010,
FS(19),1830858.0000000002,1931022.7100000002,2084723.0799999998,1977675.1000000001,2159450.8999999999,9983729.7900000010,
FS(20),1844389.3600000003,1934071.4300000002,2070177.2500000000,1990211.3900000001,2196547.6400000001,10035397.0700000003,
FS(21),1784674.8800000001,1921114.3700000001,2047210.1499999999,1955693.6600000001,2175721.3999999999,9884414.4600000009,
FS(22),1861156.4800000002,1907395.1300000001,2069666.8699999999,1936288.1700000002,2156522.2100000000,9931028.8600000013,
FS(23),1940285.5200000000,1851755.9900000002,2059459.2700000000,1961189.0200000003,2161403.3600000003,9974093.1600000001,
FS(24),1944992.0800000003,1881862.1000000003,2072218.7700000000,1918599.9800000002,2180277.1400000001,9997950.0700000003,
FS(25),1899691.4400000002,1860902.1500000001,2108455.7500000000,1889405.8800000001,2177023.0400000005,9935478.2600000016,
FS(26),1880571.0400000000,1873478.1200000001,2108966.1299999999,1908983.1000000001,2141553.3500000001,9913551.7400000002,
FS(27),1827916.4000000001,1887578.4500000002,2082936.7500000000,1936116.4400000002,2140902.5300000003,9875450.5700000003,
FS(28),1806442.7200000000,1861664.3300000003,2039044.0700000001,1899709.6800000002,2125608.2599999998,9732469.0600000005,
FS(29),1857626.5600000001,1868523.9500000002,2066859.7799999998,1920317.2800000000,2153593.5200000005,9866921.0900000017,
FS(30),1918223.5200000000,1897105.7000000002,2079108.8999999999,1977503.3700000003,2144482.0400000005,10016423.5300000012,
FS(31),1978526.3200000003,1928355.0800000003,2104117.5200000000,2031598.3200000001,2151315.6499999999,10193912.8900000025,
FS(32),1944992.0800000003,1917684.5600000003,2092123.5900000001,2017001.2700000003,2086559.0600000001,10058360.5600000005,
FS(33),1924400.8800000001,1910062.7600000000,2087274.9800000002,2020951.0600000003,2104131.2000000002,10046820.8800000008,
FS(34),1979997.1200000001,1934833.6100000003,2095951.4399999999,2082602.1300000001,2135695.9700000002,10229080.2700000014,
FS(35),1934990.6400000001,1926068.5400000000,2087785.3600000001,2080541.3700000003,2163355.8200000003,10192741.7300000004,
FS(36),1937932.2400000000,1926830.7200000002,2081405.6100000001,2064227.0200000003,2184182.0600000001,10194577.6500000004,
FS(37),1955287.6800000002,1943598.6800000002,2101310.4299999997,2081400.0200000003,2214119.7800000003,10295716.5900000017,
FS(38),1967054.0800000003,1929879.4400000002,2069666.8699999999,2083632.5100000002,2164332.0500000003,10214564.9500000011,
FS(39),1991469.3600000003,1913492.5700000003,2048996.4800000002,2045336.7200000000,2158800.0800000001,10158095.2100000009,
FS(40),2032357.6000000003,1972180.4300000002,2072984.3400000001,2089471.3300000001,2162705.0000000000,10329698.7000000011,
FS(41),2040888.2400000000,1991997.1100000003,2106669.4199999995,2082602.1300000001,2154569.7500000000,10376726.6500000004,
FS(42),2110604.1600000001,1985518.5800000003,2114069.9299999997,2092047.2800000000,2152291.8800000004,10454531.8300000019,
FS(43),2142667.6000000001,1984756.4000000001,2130657.2799999998,2091703.8200000001,2173118.1200000001,10522903.2200000007,
FS(44),2199440.4800000000,2006097.4400000002,2120704.8699999996,2091016.9000000001,2209238.6300000004,10626498.3200000003,
FS(45),2110015.8400000003,1998856.7300000002,2119684.1099999999,2089299.6000000001,2214119.7800000003,10531976.0600000005,
FS(46),2114134.0800000001,1995426.9200000002,2117132.2099999995,2079682.7200000000,2197523.8700000001,10503899.8000000007,
FS(47),2099131.9199999999,2021341.0400000000,2099779.2899999996,2096683.9900000002,2193618.9500000002,10510555.1900000013,
FS(48),2141490.9600000000,2027438.4800000002,2086254.2200000000,2148374.7199999997,2185809.1100000003,10589367.4900000021,
FS(49),2139431.8400000003,2022865.4000000001,2071453.2000000000,2150435.4800000000,2191991.8999999999,10576177.8200000003,
FS(50),2130901.2000000002,1997713.4600000002,2075025.8600000001,2144081.4699999997,2215746.8300000001,10563468.8200000003,
FS(51),2186791.6000000001,1979421.1400000001,2075791.4300000002,2144940.1200000001,2212492.7300000000,10599437.0200000014,
FS(52),2232680.5600000005,1963796.4500000002,2111773.2199999997,2138586.1099999999,2194920.5900000003,10641756.9300000016,
FS(53),2220031.6800000002,1991234.9300000002,2121980.8199999998,2176194.9800000000,2178650.0900000003,10688092.5000000000,
FS(54),2232386.4000000004,2012194.8800000001,2126319.0499999993,2176538.4399999999,2211841.9100000001,10759280.6800000016,
FS(55),2222384.9600000000,2020959.9500000002,2111518.0299999998,2198519.8799999999,2208587.8100000001,10761970.6300000008,
FS(56),2167377.0400000005,2022865.4000000001,2113559.5499999993,2228916.0899999999,2195246.0000000000,10727964.0800000001,
FS(57),2214736.8000000003,2022484.3100000003,2115345.8799999999,2208308.4899999998,2212818.1400000001,10773693.6200000010,
FS(58),2215619.2799999998,2013338.1500000001,2108455.7500000000,2213975.5799999996,2216723.0600000001,10768111.8200000003,
FS(59),2235916.3200000003,2032011.5600000003,2113049.1699999995,2229603.0100000002,2213794.3700000001,10824374.4300000016,
FS(60),2250624.3200000003,2028200.6600000001,2109986.8900000001,2227027.0600000001,2238850.9399999999,10854689.8700000010,
FS(61),2251506.8000000003,2016386.8700000001,2100544.8599999999,2213632.1200000001,2228763.2300000000,10810833.8800000008,
FS(62),2258860.8000000003,2046492.9800000002,2131678.0399999996,2231148.5799999996,2247311.6000000001,10915492.0000000019,
FS(63),2227385.6800000002,2073169.2800000000,2123511.9599999995,2223764.1899999999,2248613.2399999998,10896444.3500000015,
FS(64),2213266.0000000000,2067071.8400000003,2122236.0099999998,2181690.3399999999,2233644.3800000004,10817908.5700000022,
FS(65),2212677.6800000002,2120043.3500000001,2138823.3599999999,2198691.6099999999,2246660.7800000003,10916896.7800000012,
FS(66),2181790.8800000004,2112040.4600000004,2124277.5299999998,2178770.9300000002,2219977.1600000001,10816856.9600000009,
FS(67),2187085.7599999998,2109753.9199999999,2123256.7700000000,2158335.0600000001,2214770.6000000001,10793202.1100000013,
FS(68),2195322.2400000002,2097940.1299999999,2111262.8399999999,2169497.5099999998,2193293.5400000005,10767316.2600000016,
FS(69),2238563.7599999998,2108991.7400000002,2113814.7399999998,2177568.8199999998,2238850.9399999999,10877790.0000000019,
FS(70),2327694.2400000002,2132619.3200000003,2104372.7099999995,2194054.8999999999,2250240.2900000005,11008981.4600000009,
FS(71),2325340.9600000000,2151292.7300000004,2092889.1600000001,2197832.9600000000,2238850.9399999999,11006206.7500000019,
FS(72),2328870.8800000004,2139478.9400000004,2100289.6699999995,2186670.5099999998,2247311.6000000001,11002621.6000000034,
FS(73),2331224.1600000001,2153579.2700000000,2113814.7399999998,2194913.5499999998,2273344.3999999999,11066876.1200000010,
FS(74),2364758.4000000004,2166917.4199999999,2125298.2899999996,2241108.9199999999,2270415.7100000000,11168498.7400000021,
FS(75),2345638.0000000000,2156246.8999999999,2081150.4199999999,2300012.3100000001,2252192.7500000000,11135240.3800000008,
FS(76),2313868.7200000002,2157009.0800000001,2062011.1699999999,2283354.5000000000,2228112.4100000001,11044355.8800000008,
FS(77),2303867.2799999998,2162344.3400000003,2065839.0200000000,2303446.9099999997,2236247.6600000001,11071745.2099999990,
FS(78),2258860.8000000003,2142527.6600000001,2077577.7599999998,2297436.3599999999,2260653.4100000001,11037055.9900000002,
FS(79),2284158.5600000005,2135668.0400000000,2030112.4199999999,2305335.9399999999,2255121.4399999999,11010396.4000000022,
FS(80),2314457.0400000005,2145957.4700000002,2038788.8799999999,2280606.8200000003,2259026.3600000003,11038836.5700000022,
FS(81),2287100.1600000001,2124235.3400000003,2035471.4100000001,2268070.5299999998,2242430.4500000002,10957307.8900000025,
FS(82),2286217.6800000002,2089937.2400000002,2044658.2500000000,2261373.0600000001,2176046.8100000001,10858233.0400000010,
FS(83),2289747.6000000001,2107467.3799999999,2066349.3999999999,2268585.7199999997,2199476.3300000001,10931626.4299999997,
FS(84),2246211.9199999999,2099083.3999999999,2069666.8699999999,2274768.0000000000,2180277.1400000001,10870007.3300000001,
FS(85),2183850.0000000000,2088793.9700000002,2082426.3699999999,2267383.6099999999,2186459.9300000002,10808913.8799999990,
FS(86),2141196.8000000003,2061355.4900000002,2074770.6699999999,2272192.0499999998,2187110.7500000000,10736625.7600000016,
FS(87),2157963.9199999999,2042682.0800000003,2095951.4399999999,2267555.3399999999,2220953.3900000001,10785106.1699999999,
FS(88),2082070.6400000001,2061736.5800000003,2095696.2500000000,2278374.3299999996,2243732.0900000003,10761609.8900000006,
FS(89),2132960.3200000003,2083839.8000000000,2104883.0899999999,2293830.0299999998,2238525.5300000003,10854038.7700000014,
FS(90),2130607.0400000005,2069739.4700000002,2096461.8200000001,2244371.7900000000,2161077.9500000002,10702258.0700000022,
FS(91),2109133.3600000003,2062498.7600000000,2103096.7599999998,2228057.4399999999,2175395.9899999998,10678182.3100000005,
FS(92),2061185.2800000000,2053352.6000000003,2072984.3400000001,2215349.4199999999,2113242.6800000002,10516114.3200000003,
FS(93),2079717.3600000003,2082696.5300000000,2083191.9399999999,2243513.1399999997,2148386.9600000000,10637505.9300000016,
FS(94),2090012.9600000000,2070120.5600000003,2057417.7500000000,2224966.2999999998,2118449.2399999998,10560966.8100000005,
FS(95),2076481.6000000003,2083458.7100000002,2037768.1199999999,2241280.6499999999,2054994.2899999998,10493983.3700000010,
FS(96),2042359.0400000003,2080028.9000000001,2046444.5799999998,2232522.4199999999,2251867.3400000003,10653222.2800000012,
FS(97),2055302.0800000003,2100226.6699999999,2042106.3499999999,2248665.0400000000,2273344.3999999999,10719644.5400000010,
FS(98),2070892.5600000003,2092985.9600000002,2046699.7700000000,2239735.0799999996,2261629.6400000001,10711943.0100000016,
FS(99),2091189.6000000003,2118900.0800000001,2066349.3999999999,2277000.4899999998,2285709.9800000000,10839149.5500000007,
FS(100),2134725.2799999998,2155865.8100000001,2079364.0900000001,2291254.0799999996,2293519.8200000003,10954729.0800000001,
FS(101),2120311.4399999999,2149006.1900000004,2072729.1499999999,2283697.9600000000,2305559.9899999998,10931304.7300000004,
FS(102),2116781.5200000000,2152436.0000000000,2078088.1400000001,2301214.4199999999,2302305.8900000001,10950825.9700000007,
FS(103),2132960.3200000003,2144052.0200000000,2068135.7300000002,2295547.3299999996,2303282.1200000001,10943977.5200000014,
FS(104),2125900.4800000000,2146719.6499999999,2087274.9800000002,2310316.1099999999,2294170.6400000001,10964381.8600000013,
FS(105),2165612.0800000001,2165393.0600000001,2091358.0200000000,2336247.3399999999,2308814.0900000003,11067424.5899999999,
FS(106),2207382.8000000003,2158533.4400000004,2104627.8999999999,2349985.7399999998,2306210.8100000001,11126740.6900000013,
FS(107),2247976.8800000004,2178731.2100000004,2112283.5999999996,2372482.3700000001,2312068.1899999999,11223542.2500000019,
FS(108),2259449.1200000001,2172252.6800000002,2100800.0499999993,2351703.0400000000,2311417.3700000001,11195622.2600000016,
FS(109),2297689.9199999999,2195880.2600000002,2109221.3199999998,2411121.6200000001,2319552.6200000001,11333465.7400000021,
FS(110),2269744.7200000002,2179112.3000000003,2122491.1999999997,2415930.0600000001,2313369.8300000001,11300648.1100000013,
FS(111),2236504.6400000001,2165011.9700000002,2123256.7700000000,2391200.9399999999,2314996.8800000004,11230971.2000000011,
FS(112),2212971.8400000003,2138335.6699999999,2107179.7999999993,2371451.9899999998,2295146.8700000001,11125086.1700000018,
FS(113),2202087.9199999999,2143670.9300000002,2127084.6199999996,2367673.9300000002,2308814.0900000003,11149331.4900000002,
FS(114),2208265.2799999998,2137573.4900000002,2116877.0200000000,2357198.3999999999,2314346.0600000001,11134260.2500000000,
FS(115),2205912.0000000000,2191307.1800000002,2128615.7599999998,2381240.6000000001,2320203.4399999999,11227278.9800000023,
FS(116),2233563.0400000005,2129951.6900000004,2121470.4399999995,2364582.7900000000,2308814.0900000003,11158382.0500000007,
FS(117),2248271.0400000005,2139478.9400000004,2119173.7300000000,2378836.3799999999,2313695.2399999998,11199455.3300000019,
FS(118),2250036.0000000000,2143670.9300000002,2128615.7599999998,2373169.2900000000,2325410.0000000000,11220901.9800000004,
FS(119),2248271.0400000005,2173777.0400000000,2132698.7999999993,2368189.1200000001,2334846.8900000001,11257782.8900000006,
FS(120),2300925.6800000002,2198166.8000000003,2149030.9599999995,2390342.2900000000,2346236.2399999998,11384701.9700000007,
FS(121),2148256.6400000001,2129570.6000000001,2099268.9099999997,2357713.5899999999,2341680.5000000000,11076490.2400000002,
FS(122),2099720.2400000002,2107848.4700000002,2072984.3400000001,2354622.4500000002,2326711.6400000001,10961887.1400000006,
FS(123),2133254.4800000000,2118137.8999999999,2104372.7099999995,2382099.2500000000,2327037.0500000003,11064901.3900000025,
FS(124),2183555.8400000003,2174158.1299999999,2141375.2599999998,2413182.3799999999,2357951.0000000000,11270222.6100000013,
FS(125),2230033.1200000001,2195499.1699999999,2160769.6999999997,2424860.0199999996,2376173.9600000000,11387335.9700000025,
FS(126),2248859.3600000003,2208075.1400000001,2163576.7899999996,2419021.2000000002,2369340.3500000001,11408872.8400000017,
FS(127),2187968.2400000002,2210361.6800000002,2180419.3299999996,2431042.2999999998,2380078.8800000004,11389870.4300000016,
FS(128),2201205.4399999999,2254568.1200000001,2169956.5399999996,2445124.1599999997,2402206.7599999998,11473061.0199999996,
FS(129),2207676.9600000000,2240086.7000000002,2164852.7399999998,2417990.8200000003,2392769.8700000001,11423377.0900000017,
FS(130),2275922.0800000001,2261808.8300000001,2188840.5999999996,2426062.1299999999,2402857.5800000001,11555491.2200000007,
FS(131),2288570.9600000000,2261427.7400000002,2188330.2199999997,2409747.7799999998,2410016.6000000001,11558093.3000000026,
FS(132),2347402.9600000000,2271336.0800000001,2188330.2199999997,2401848.2000000002,2384309.2100000000,11593226.6700000018,
FS(133),2344167.2000000002,2269430.6299999999,2191902.8799999999,2429668.4600000000,2395698.5600000001,11630867.7300000004,
FS(134),2355051.1200000001,2273241.5300000003,2191392.5000000000,2418677.7399999998,2398301.8400000003,11636664.7300000004,
FS(135),2373877.3600000003,2272479.3500000001,2194965.1599999997,2427092.5100000002,2397325.6100000003,11665739.9900000021,
FS(136),2347991.2799999998,2249232.8600000003,2192923.6400000001,2417132.1699999999,2402857.5800000001,11610137.5299999993,
FS(137),2345638.0000000000,2235513.6200000001,2199048.1999999997,2448730.4899999998,2397000.2000000002,11625930.5100000016,
FS(138),2344167.2000000002,2240467.7900000000,2177357.0499999993,2456114.8799999999,2401230.5300000003,11619337.4500000030,
FS(139),2353580.3200000003,2240467.7900000000,2175825.9099999997,2453538.9300000002,2392444.4600000000,11615857.4100000020,
FS(140),2335048.2400000002,2241611.0600000001,2187564.6499999999,2467620.7900000000,2393420.6899999999,11625265.4300000016,
FS(141),2314751.2000000002,2231702.7200000002,2189606.1699999995,2433961.7100000000,2399928.8900000001,11569950.6900000013,
FS(142),2434180.1600000001,2224080.9199999999,2176081.0999999996,2433446.5199999996,2399278.0700000003,11667066.7700000014,
FS(143),2473891.7599999998,2233227.0800000001,2155410.7099999995,2433103.0600000001,2385936.2599999998,11681568.8700000010,
FS(144),2439180.8800000004,2226748.5500000003,2164342.3599999999,2451649.8999999999,2383332.9800000000,11665254.6699999999,
FS(145),2434474.3200000003,2235513.6200000001,2184247.1799999997,2459206.0199999996,2374546.9100000001,11687988.0500000007,
FS(146),2410647.3600000003,2235513.6200000001,2205172.7599999998,2464529.6499999999,2400905.1200000001,11716768.5100000016,
FS(147),2389762.0000000000,2222937.6499999999,2214104.4099999997,2458690.8299999996,2379753.4700000002,11665248.3600000013,
FS(148),2413000.6400000001,2197023.5300000003,2193944.3999999999,2453710.6599999997,2373570.6800000002,11631249.9100000001,
FS(149),2405352.4800000000,2204264.2400000002,2195985.9199999995,2450791.2500000000,2385285.4399999999,11641679.3300000019,
FS(150),2428591.1200000001,2433680.4199999999,2189095.7899999996,2455599.6899999999,2400254.3000000003,11907221.3200000022,
FS(151),2454477.2000000002,2395571.4199999999,2188585.4099999997,2440830.9099999997,2386587.0800000001,11866052.0200000014,
FS(152),2436533.4399999999,2381471.0900000003,2194454.7799999998,2435507.2799999998,2393095.2800000003,11841061.8700000010,
FS(153),2431238.5600000005,2387187.4400000004,2202620.8599999999,2441861.2900000000,2406437.0900000003,11869345.2400000002,
FS(154),2448594.0000000000,2424915.3500000001,2213338.8399999999,2449417.4099999997,2401555.9399999999,11937821.5400000010,
FS(155),2441534.1600000001,2414244.8300000001,2221249.7300000000,2453710.6599999997,2404484.6300000004,11935224.0100000016,
FS(156),2475362.5600000005,2413101.5600000001,2220739.3499999996,2432072.6800000002,2385936.2599999998,11927212.4100000001,
FS(157),2479480.8000000003,2402431.0400000000,2209510.9899999998,2422799.2600000002,2371943.6300000004,11886165.7200000007,
FS(158),2483010.7200000002,2411958.2900000000,2219208.2099999995,2433618.2500000000,2373245.2700000005,11921040.7400000021,
FS(159),2452712.2400000002,2424915.3500000001,2231457.3299999996,2441517.8299999996,2417826.4399999999,11968429.1900000013,
FS(160),2466243.6000000001,2414625.9199999999,2228139.8599999999,2439285.3399999999,2369340.3500000001,11917635.0700000003,
FS(161),2458889.6000000001,2421866.6299999999,2216401.1199999996,2440143.9899999998,2365760.8400000003,11903062.1799999997,
FS(162),2471244.3200000003,2423009.8999999999,2230436.5699999998,2438770.1499999999,2342005.9100000001,11905466.8500000015,
FS(163),2445946.5600000005,2390617.2500000000,2228139.8599999999,2402019.9300000002,2350466.5700000003,11817190.1700000018,
FS(164),2436827.6000000001,2374992.5600000001,2243196.0699999998,2357885.3200000003,2317600.1600000001,11730501.7100000009,
FS(165),2431532.7200000002,2395190.3300000001,2235029.9899999998,2346207.6800000002,2314996.8800000004,11722957.6000000015,
FS(166),2444475.7599999998,2401287.7700000000,2253403.6699999995,2357370.1299999999,2323457.5400000005,11779994.8700000010,
FS(167),2426237.8400000003,2389855.0700000003,2234009.2300000000,2350500.9300000002,2320528.8500000001,11721131.9200000018,
FS(168),2410647.3600000003,2392903.7900000000,2228139.8599999999,2336419.0700000003,2324759.1800000002,11692869.2599999998,
FS(169),2395939.3600000003,2397095.7800000003,2253658.8599999999,2331095.4399999999,2370316.5800000001,11748106.0199999996,
FS(170),2402999.2000000002,2400144.5000000000,2250851.7700000000,2346035.9500000002,2359252.6400000001,11759284.0600000005,
FS(171),2414471.4399999999,2410052.8400000003,2262080.1299999999,2335045.2300000000,2375523.1400000001,11797172.7800000012,
FS(172),2462713.6800000002,2395952.5100000002,2244472.0200000000,2318215.6899999999,2344934.6000000001,11766288.5000000019,
FS(173),2457418.8000000003,2410052.8400000003,2240133.7899999996,2325943.5400000000,2337450.1699999999,11770999.1400000006,
FS(174),2376524.8000000003,2381471.0900000003,2200834.5299999998,2294688.6800000002,2287662.4399999999,11541181.5400000010,
FS(175),2409764.8800000004,2408147.3900000001,2252127.7199999997,2327489.1099999999,2341029.6800000002,11738558.7799999993,
FS(176),2360051.8400000003,2355556.9700000002,2221504.9199999995,2300355.7699999996,2325410.0000000000,11562879.5000000019,
FS(177),2383290.4800000000,2338026.8300000001,2220484.1599999997,2295890.7900000000,2327362.4600000000,11565054.7200000007,
FS(178),2413000.6400000001,2377279.1000000001,2247279.1099999999,2328862.9500000002,2355998.5400000005,11722420.3400000017,
FS(179),2413588.9600000000,2373468.2000000002,2247023.9199999995,2377977.7300000000,2371292.8100000001,11783351.6200000010,
FS(180),2408588.2400000002,2337264.6499999999,2255190.0000000000,2364411.0600000001,2345910.8300000001,11711364.7800000012,
FS(181),2403293.3600000003,2360511.1400000001,2260548.9899999998,2360804.7300000000,2342005.9100000001,11727164.1300000008,
FS(182),2455359.6800000002,2389473.9800000004,2240644.1699999995,2402706.8500000001,2349164.9300000002,11837349.6100000013,
FS(183),2456242.1600000001,2401668.8600000003,2271011.7799999998,2422112.3399999999,2351768.2100000000,11902803.3499999996,
FS(184),2425061.2000000002,2399382.3200000003,2239623.4099999997,2413010.6499999999,2354371.4899999998,11831449.0700000003,
FS(185),2423002.0800000001,2368514.0300000003,2241920.1199999996,2399443.9800000000,2330616.5600000001,11763496.7699999996,
FS(186),2438004.2400000002,2384519.8100000001,2254934.8099999996,2417819.0899999999,2353720.6699999999,11848998.6199999992,
FS(187),2547137.6000000001,2412339.3799999999,2283005.7099999995,2411293.3500000001,2336148.5300000003,11989924.5700000022,
FS(188),2573023.6800000002,2359367.8700000001,2251617.3399999999,2375401.7799999998,2301655.0700000003,11861065.7400000002,
FS(189),2611264.4800000000,2378422.3700000001,2290406.2199999997,2404252.4199999999,2346887.0600000001,12031232.5500000007,
FS(190),2596850.6400000001,2382614.3600000003,2262590.5099999998,2378321.1899999999,2343307.5500000003,11963684.2500000019,
FS(191),2574200.3200000003,2380327.8200000003,2254679.6199999996,2372654.1000000001,2334846.8900000001,11916708.7500000000,
FS(192),2630384.8800000004,2393284.8799999999,2267439.1199999996,2363037.2199999997,2332243.6100000003,11986389.7100000009,
FS(193),2626560.8000000003,2387949.6200000001,2276881.1499999999,2343631.7300000000,2257073.8999999999,11892097.2000000011,
