代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12704280.0999999996
真實報酬,2704280.0999999996
趨勢值,0.0335237110

選擇檔數,2
找到最佳解世代,2288
找到最佳解實驗,1
Stock#,MRK,MSFT,
分配資金,5000000,5000000,
張數,88936,58173,
剩餘資金,18.0800000001,30.6499999998,
FS(220),6635533.0400000000,6221051.2699999996,12856584.3100000005,
FS(221),6589286.3200000003,6106450.4599999990,12695736.7800000012,
FS(222),6655988.3200000003,6240830.0899999999,12896818.4100000001,
FS(223),6764490.2400000002,6299584.8199999994,13064075.0600000005,
FS(224),6790281.6799999997,6086089.9100000001,12876371.5899999999,
FS(225),6650652.1600000001,5916806.4799999995,12567458.6400000006,
FS(226),6651541.5200000005,5998248.6799999997,12649790.2000000011,
FS(227),6640869.2000000002,5995921.7599999988,12636790.9600000009,
FS(228),6709349.9199999999,6193709.9599999990,12903059.8800000008,
FS(229),6789392.3200000003,6232685.8699999992,13022078.1900000013,
FS(230),6868545.3600000003,6464214.4100000001,13332759.7700000014,
FS(231),6929021.8399999999,6410113.5199999996,13339135.3599999994,
FS(232),7056200.3200000003,6450834.6199999992,13507034.9400000013,
FS(233),7045528.0000000000,6520642.2199999997,13566170.2200000007,
FS(234),6955702.6399999997,6312964.6099999994,13268667.2500000000,
FS(235),6969932.4000000004,6351940.5199999996,13321872.9199999999,
FS(236),6823188.0000000000,6097724.5099999988,12920912.5099999998,
FS(237),6885443.2000000002,6258863.7199999997,13144306.9199999999,
FS(238),6857873.0400000000,6317036.7199999997,13174909.7599999998,
FS(239),6937915.4400000004,6345541.4899999993,13283456.9300000016,
FS(240),7026851.4400000004,6367065.5000000000,13393916.9400000013,
FS(241),6801843.3600000003,6168113.8399999999,12969957.2000000011,
FS(242),6690673.3600000003,5985450.6199999992,12676123.9800000004,
FS(243),6610630.9600000000,6048277.4599999990,12658908.4199999999,
FS(244),6560826.7999999998,6031989.0199999996,12592815.8200000003,
FS(245),6535924.7199999997,5905171.8799999999,12441096.5999999996,
FS(246),6483452.4800000004,5714364.4399999995,12197816.9200000018,
FS(247),6327814.4800000004,5475855.1399999987,11803669.6200000010,
FS(248),6581282.0800000001,5849907.5299999993,12431189.6100000013,
FS(249),6704013.7599999998,5885974.7900000000,12589988.5500000007,
FS(250),6703124.4000000004,5840018.1199999992,12543142.5200000014,
FS(251),6795617.8399999999,5908662.2599999988,12704280.0999999996,
