代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14522920.2200000025
真實報酬,4522920.2200000025
趨勢值,0.0939999271

選擇檔數,6
找到最佳解世代,2245
找到最佳解實驗,1
Stock#,BA,MMM,MRK,NKE,UNH,UTX,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,21625,17584,40316,64300,30558,19841,
剩餘資金,27.2500000001,54.4800000000,2.5599999999,9.9999999999,32.6800000000,22.0000000000,
FS(21),1597466.0000000002,1768125.6799999999,1743669.5599999998,1738039.0000000000,1687139.8599999999,1737498.3699999999,10271942.4699999988,
FS(22),1619091.0000000002,1785885.5200000000,1686420.8399999999,1726465.0000000000,1704252.3400000001,1782537.4400000002,10304656.1400000006,
FS(23),1626443.5000000000,1771994.1599999999,1646911.1599999999,1725179.0000000000,1703641.1799999999,1776585.1400000001,10250758.1400000006,
FS(24),1641148.5000000002,1784654.6399999999,1670294.4399999997,1732895.0000000000,1765368.3400000001,1771029.6600000001,10365394.5800000001,
FS(25),1649798.5000000005,1805755.4399999999,1656587.0000000000,1741254.0000000000,1753450.7200000000,1773212.1700000002,10380061.8300000019,
FS(26),1674451.0000000005,1797490.9600000000,1652958.5599999998,1757972.0000000000,1743366.5799999998,1784719.9500000000,10410963.0500000007,
FS(27),1655637.2500000002,1805227.9199999999,1660215.4399999997,1755400.0000000000,1764451.6000000001,1787497.6900000002,10428433.9000000004,
FS(28),1640716.0000000002,1804524.5600000001,1668278.6399999999,1775333.0000000000,1745505.6399999999,1777974.0100000000,10412335.8499999996,
FS(29),1643311.0000000002,1819295.1199999999,1671100.7600000000,1771475.0000000000,1742144.2599999998,1785315.1800000002,10432645.3200000003,
FS(30),1617144.7500000002,1808744.7200000000,1659005.9599999997,1754114.0000000000,1748867.0199999998,1775791.5000000000,10363671.9500000011,
FS(31),1620388.5000000005,1807338.0000000000,1660618.5999999996,1756043.0000000000,1743366.5799999998,1779561.2900000000,10367319.9700000007,
FS(32),1622551.0000000002,1815250.8000000000,1669891.2799999998,1766974.0000000000,1751617.2400000000,1801187.9800000000,10427476.3000000007,
FS(33),1614333.5000000005,1831955.6000000001,1702144.0799999998,1751542.0000000000,1731448.9599999997,1805949.8199999998,10437377.9600000009,
FS(34),1617144.7500000002,1813844.0800000001,1719883.1199999996,1736753.0000000000,1687139.8599999999,1788886.5599999998,10363655.3700000010,
FS(35),1643743.5000000002,1806282.9600000000,1713432.5599999998,1753471.0000000000,1688056.6000000001,1774005.8099999998,10378996.4300000016,
FS(36),1657799.7500000002,1820701.8400000001,1732381.0799999998,1751542.0000000000,1664526.9399999999,1795434.0899999999,10422389.7000000011,
FS(37),1622551.0000000002,1789226.4800000000,1714238.8799999999,1737396.0000000000,1628774.0799999998,1753371.1700000002,10245561.6100000013,
FS(38),1635958.5000000005,1799073.5200000000,1710207.2799999998,1745112.0000000000,1621134.5799999998,1769839.2000000000,10281329.0800000001,
