初始資金,10000000.0000000000
最後資金,13256772.3100000005
真實報酬,3256772.3100000005

二次趨勢線,8.1068896923x^2 + 12398.2839348600x + 10000000.0000000000
加權每日預期報酬,15138.4126508717
風險,224521.9652128829
二次趨勢值,0.0674250853

平均每日預期報酬,57.1440075759
風險,224521.9652128829
二次趨勢值,0.0002545141

一次趨勢線,13939.6003413964x + 10000000.0000000000
每日預期報酬,13939.6003413964
風險,231968.2945882081
一次趨勢值,0.0600926966

投資組合檔數,1
Stock#,MCD,
FS(197),12878885.2400000002,
FS(198),12941643.8699999992,
FS(199),13089861.0600000005,
FS(200),13149949.1099999994,
FS(201),13085855.1899999995,
FS(202),13033778.8799999990,
FS(203),13104549.2500000000,
FS(204),13017755.3999999985,
FS(205),12984373.1499999985,
FS(206),13195348.9699999988,
FS(207),13246089.9900000002,
FS(208),13165972.5899999980,
FS(209),13372942.5400000010,
FS(210),13426354.1399999987,
FS(211),13296831.0099999998,
FS(212),13461071.6799999997,
FS(213),13396977.7599999998,
FS(214),13198019.5500000007,
FS(215),13271460.5000000000,
FS(216),13330213.2599999998,
FS(217),13433030.5899999980,
FS(218),13304842.7500000000,
FS(219),13312854.4900000002,
FS(220),13343566.1600000001,
FS(221),13429024.7199999988,
FS(222),13399648.3399999980,
FS(223),13426354.1399999987,
FS(224),13561218.4299999997,
FS(225),13521159.7300000004,
FS(226),13585253.6499999985,
FS(227),13479765.7400000002,
FS(228),13186001.9399999995,
FS(229),13250095.8599999994,
FS(230),13243419.4100000001,
FS(231),13177990.1999999993,
FS(232),13177990.1999999993,
FS(233),13226060.6399999987,
FS(234),13139266.7900000010,
FS(235),13168643.1699999999,
FS(236),13354248.4800000004,
FS(237),13284813.3999999985,
FS(238),13474424.5799999982,
FS(239),13359589.6399999987,
FS(240),13351577.8999999985,
FS(241),13282142.8199999984,
FS(242),13306178.0400000010,
FS(243),13292825.1399999987,
FS(244),13167307.8799999990,
FS(245),13254101.7300000004,
FS(246),13351577.8999999985,
FS(247),13418342.3999999985,
FS(248),13441042.3299999982,
FS(249),13461071.6799999997,
FS(250),13395642.4699999988,
FS(251),13400983.6299999990,
FS(252),13323536.8100000005,
FS(253),13256772.3100000005,
