初始資金,10000000.0000000000
最後資金,13481668.2199999988
真實報酬,3481668.2199999988

二次趨勢線,16.4716412881x^2 + 10680.0607238366x + 10000000.0000000000
加權每日預期報酬,16225.5132908146
風險,221253.5403079586
二次趨勢值,0.0733344798

平均每日預期報酬,58.9181982925
風險,221253.5403079586
二次趨勢值,0.0002662927

一次趨勢線,13799.3655613449x + 10000000.0000000000
每日預期報酬,13799.3655613449
風險,250530.9268358921
一次趨勢值,0.0550804874

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),10023138.5299999993,
FS(3),10048999.2400000002,
FS(4),10078943.2199999988,
FS(5),9997277.8200000003,
FS(6),10257246.0099999998,
FS(7),10334828.1400000006,
FS(8),10311689.6099999994,
FS(9),10363411.0299999993,
FS(10),10377021.9299999997,
FS(11),10364772.1200000010,
FS(12),10347077.9499999993,
FS(13),10341633.5899999999,
FS(14),10362049.9399999995,
FS(15),10303523.0700000003,
FS(16),10234107.4799999986,
FS(17),10236829.6599999983,
FS(18),10132025.7299999986,
FS(19),10300800.8900000006,
FS(20),10193274.7799999993,
FS(21),10166052.9799999986,
FS(22),10377021.9299999997,
FS(23),10348439.0399999991,
FS(24),10383827.3800000008,
FS(25),10281745.6300000008,
FS(26),10314411.7899999991,
FS(27),10436909.8900000006,
FS(28),10443715.3399999999,
FS(29),10299439.7999999989,
FS(30),10224579.8499999996,
FS(31),9987750.1899999995,
FS(32),9990472.3700000010,
FS(33),9934667.6799999997,
FS(34),10039471.6099999994,
FS(35),10054443.5999999996,
FS(36),10144275.5399999991,
FS(37),10198719.1400000006,
FS(38),10242274.0199999996,
FS(39),10208246.7699999996,
FS(40),10258607.0999999996,
FS(41),10318495.0600000005,
FS(42),10356605.5800000001,
FS(43),10342994.6799999997,
FS(44),10397438.2799999993,
FS(45),10426021.1699999981,
FS(46),10442354.2500000000,
FS(47),10345716.8599999994,
FS(48),10349800.1300000008,
FS(49),10378383.0199999996,
FS(50),10434187.7099999990,
